Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp710,5,1,37,15,5,0,2,0,0,5,5,-1.5,180,-0.0447,-0.0357,-0.1107,-0.1357,-0.1587
exp711,5,5,35,19,0,0,2,0,0,5,4,-1.4,156,-0.0677,-0.0087,-0.1567,-0.1997,-0.2427
exp712,0,5,35,25,0,0,0,0,0,5,5,-1.2,180,-0.0637,-0.0097,-0.1357,-0.2957,-0.3357
exp713,0,5,40,15,5,0,0,0,0,5,5,-1.5,121,-0.0547,-0.0407,-0.1347,-0.1557,-0.1767
exp714,5,0,40,15,0,0,5,0,0,5,5,-1.5,167,-0.0397,-0.0957,-0.1247,-0.1557,-0.0067
exp715,2,5,38,15,0,0,5,0,0,5,5,-1.5,131,-0.0597,-0.1027,-0.1207,-0.1417,-0.1597
exp716,5,0,42,15,0,0,3,0,0,5,5,-1.5,112,-0.0667,-0.1017,-0.1407,-0.1787,-0.2137
exp717,0,5,35,25,0,0,0,0,0,5,5,-1,30,-0.4147,-0.4387,-0.4547,-0.4687,-0.4807
exp718,0,0,35,15,5,5,5,0,0,5,5,-1.5,158,-0.0517,-0.1027,-0.1247,-0.0217,-0.1697
exp719,0,5,45,15,0,0,0,0,0,5,5,-1.5,103,-0.0497,-0.0367,-0.1347,-0.1587,-0.0107
exp720,5,0,35,20,0,0,5,0,0,5,5,-1.5,80,-0.0947,-0.1827,-0.2357,-0.2737,-0.3257
exp721,5,0,45,15,0,0,0,0,0,5,5,-1.5,132,-0.1507,-0.2867,-0.3497,-0.3767,-0.3917
exp722,0,0,35,25,0,0,5,0,0,5,5,-1.5,180,-0.3857,-0.4037,-0.4087,-0.4197,-0.4337
exp723,0,0,45,15,0,0,5,0,0,5,5,-1.5,134,-0.0427,-0.1057,-0.1377,-0.1687,-0.1957
exp724,0,0,45,15,0,0,5,0,0,5,5,-1.5,142,-0.0447,-0.0987,-0.1227,-0.1477,-0.1697
exp725,5,5,35,15,2,0,3,0,0,5,5,-1.5,113,-0.5287,-0.5697,-0.5967,-0.6187,-0.6387
exp726,0,4,35,15,0,5,5,0,0,6,6,-1.5,152,-0.2987,-0.3187,-0.3277,-0.3337,-0.3397
exp727,0,0,43,15,2,0,5,0,0,5,5,-1.5,49,-0.0697,0.0003,-0.1677,-0.3727,-0.3867
