Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp398,5,0,0,5,15,0,0,10,30,0,5,-1.4,150,,,,,
exp122,5,0,0,0,0,5,30,5,20,0,5,-1.3,90,-0.7907,-0.8407,-0.8717,-0.8957,-0.9127
exp160,5,5,10,5,5,5,0,0,5,15,15,-1.3,60,-0.4207,-0.4577,-0.4827,-0.5057,-0.5267
exp258,0,20,0,0,0,0,0,0,15,30,5,-1.4,60,-0.7507,-0.7807,-0.7997,-0.8157,-0.8267
exp150,5,5,10,5,10,0,0,15,5,10,5,-1.3,150,-0.1747,-0.2147,-0.2407,-0.2607,-0.2787
exp18,0,0,0,0,10,15,0,10,10,15,10,-1.4,60,-0.4447,-0.5247,-0.5627,-0.5867,-0.6047
exp418,0,10,5,15,10,5,0,5,15,5,0,-1.1,90,-0.3217,-0.3697,-0.4027,-0.4287,-0.4507
exp301,5,25,0,0,0,0,0,15,5,15,5,-1.2,150,,,,,
exp11,0,5,0,15,5,15,0,5,0,25,0,-1.1,60,-0.4267,-0.4647,-0.4897,-0.5087,-0.5247
exp381,5,5,0,5,20,0,10,15,0,5,5,-1.3,60,-0.6277,-0.6647,-0.6867,-0.7037,-0.7167
exp562,0,0,8,8,8,8,8,15,15,0,0,-1.1,150,-0.3227,-0.3717,-0.4037,-0.4287,-0.4517
exp430,0,5,5,0,10,20,0,20,0,0,10,-1.3,120,-0.3187,-0.3667,-0.4007,-0.4287,-0.4527
exp212,0,25,0,10,0,0,0,0,10,25,0,-1.5,150,-0.2407,-0.2737,-0.2997,-0.3217,-0.3397
exp314,5,25,0,0,5,0,0,25,0,10,0,-1.4,90,,,,,
exp49,0,0,0,0,0,15,35,5,0,15,0,-1.5,60,-0.6317,-0.6647,-0.6857,-0.7027,-0.7167
exp234,0,15,0,0,0,10,5,5,30,5,0,-1.4,150,-0.8027,-0.8287,-0.8467,-0.8617,-0.8757
exp387,10,15,0,0,0,0,15,15,10,0,5,-1.1,150,-0.8447,-0.8747,-0.8957,-0.9137,-0.9297
exp195,0,15,0,0,0,10,0,10,30,5,0,-1.2,150,-0.5847,-0.6717,-0.7197,-0.7537,-0.7807
exp448,0,20,5,5,0,0,10,5,10,5,10,-1.1,120,-0.6067,-0.6357,-0.6557,-0.6707,-0.6847
exp410,10,0,15,0,0,10,10,0,0,20,5,-1.2,90,-0.5957,-0.6497,-0.6867,-0.7167,-0.7427
exp487,25,0,0,5,0,0,15,5,15,0,5,-1.1,120,-0.6957,-0.7177,-0.7337,-0.7467,-0.7587
exp139,0,0,5,10,0,20,5,25,0,0,5,-1.2,60,-0.2647,-0.3257,-0.3597,-0.3887,-0.4147
exp140,0,10,0,0,15,5,15,10,0,10,5,-1.2,60,-0.3907,-0.4677,-0.5077,-0.5337,-0.5527
exp147,5,5,5,15,0,0,10,10,15,5,0,-1.5,90,-0.6347,-0.6797,-0.7077,-0.7267,-0.7427
exp368,25,10,0,0,5,5,0,5,5,10,5,-1.2,150,,,,,
exp408,5,0,15,15,0,10,0,0,20,5,0,-1.4,120,-0.5657,-0.6377,-0.6797,-0.7107,-0.7367
exp106,0,0,25,0,0,10,0,10,20,5,0,-1.3,150,-0.7027,-0.7377,-0.7597,-0.7827,-0.8097
exp305,5,0,0,15,0,10,20,15,0,5,0,-1.2,120,-0.3437,-0.3897,-0.4237,-0.4467,-0.4677
exp213,0,5,0,25,5,10,0,15,10,0,0,-1.3,60,-0.3417,-0.4167,-0.4757,-0.5287,-0.5717
exp206,10,0,10,0,0,15,0,25,5,5,0,-1.4,60,-0.6717,-0.7097,-0.7337,-0.7517,-0.7677
exp241,0,15,5,0,0,15,0,5,5,10,15,-1.3,90,-0.5867,-0.6207,-0.6437,-0.6647,-0.6807
exp400,0,15,10,5,10,0,10,10,5,5,0,-1.3,120,,,,,
exp58,0,0,5,10,0,25,5,0,20,0,5,-1.5,120,-0.6847,-0.7187,-0.7397,-0.7547,-0.7677
exp243,10,0,0,5,5,0,0,10,5,10,25,-1.4,120,-0.4377,-0.5187,-0.5637,-0.5937,-0.6147
exp371,5,5,0,10,0,25,0,0,5,20,0,-1.2,90,-0.4827,-0.5177,-0.5397,-0.5577,-0.5727
exp259,20,5,10,5,0,0,5,5,20,0,0,-1.3,120,-0.7797,-0.8017,-0.8147,-0.8267,-0.8347
exp174,0,0,5,5,0,0,20,25,0,0,15,-1.2,150,-0.3557,-0.4037,-0.4337,-0.4597,-0.4827
exp322,0,10,5,0,5,20,5,10,0,15,0,-1.5,150,-0.4017,-0.4627,-0.5037,-0.5357,-0.5607
exp27,0,0,20,5,0,0,5,5,10,20,5,-1.4,150,-0.3937,-0.4427,-0.4757,-0.5057,-0.5327
exp28,0,0,0,5,5,15,0,5,40,0,0,-1.3,150,-0.6307,-0.6817,-0.7097,-0.7317,-0.7487
exp416,15,5,10,5,5,0,5,5,5,15,0,-1.1,90,-0.5707,-0.6197,-0.6447,-0.6627,-0.6777
exp239,5,5,10,0,5,5,20,15,5,0,0,-1.1,90,-0.5557,-0.6077,-0.6367,-0.6567,-0.6727
exp233,5,15,0,10,0,15,0,0,10,10,5,-1.3,60,-0.5597,-0.5997,-0.6247,-0.6447,-0.6607
exp32,0,5,0,5,0,20,10,5,20,0,5,-1.2,60,-0.5057,-0.5717,-0.6097,-0.6377,-0.6617
exp413,0,0,5,0,0,5,15,5,20,5,15,-1.2,120,-0.7527,-0.7817,-0.7997,-0.8157,-0.8287
exp26,20,0,5,20,5,0,0,5,5,10,0,-1.3,60,-0.6417,-0.6747,-0.6937,-0.7077,-0.7187
exp157,0,15,5,0,5,15,0,5,15,5,5,-1.2,150,-0.2427,-0.2967,-0.3297,-0.3517,-0.3677
exp581,0,0,5,0,25,10,0,30,0,0,0,-1.5,180,,,,,
exp572,30,0,0,0,0,20,0,0,0,20,20,-1.0,180,-0.8377,-0.8697,-0.8857,-0.8967,-0.9057
exp61,10,0,25,0,0,0,5,5,0,20,5,-1.1,120,-0.7227,-0.7517,-0.7697,-0.7837,-0.7957
exp452,15,15,5,5,0,5,0,5,15,5,0,-1.2,120,-0.5687,-0.6077,-0.6317,-0.6497,-0.6657
exp441,0,0,5,5,25,5,5,0,20,0,5,-1.2,120,-0.2437,-0.2857,-0.3147,-0.3377,-0.3577
exp240,5,10,10,0,0,5,5,25,0,0,10,-1.4,150,-0.5497,-0.5947,-0.6237,-0.6457,-0.6677
exp183,20,0,5,0,5,0,10,20,0,0,10,-1.2,60,-0.5617,-0.6037,-0.6287,-0.6477,-0.6637
exp349,0,0,0,20,5,15,0,15,10,0,5,-1.5,120,-0.2547,-0.2927,-0.3167,-0.3357,-0.3517
exp168,0,5,25,5,0,0,0,10,0,15,10,-1.1,150,-0.2537,-0.2867,-0.3087,-0.3257,-0.3407
exp529,8,0,8,8,0,0,0,7,7,0,32,-1.4,180,-0.2837,-0.3357,-0.3707,-0.3987,-0.4237
exp180,0,15,5,0,10,0,0,15,0,20,5,-1.1,150,,,,,
exp468,5,10,5,0,5,0,15,5,15,10,0,-1.4,90,-0.6717,-0.7037,-0.7237,-0.7397,-0.7527
exp315,0,35,0,0,0,0,0,15,5,15,0,-1.3,60,,,,,
exp131,5,15,15,0,0,5,0,5,0,15,10,-1.5,60,-0.6417,-0.6877,-0.7187,-0.7427,-0.7617
exp445,20,0,15,5,0,0,10,5,5,10,0,-1.1,120,-0.6117,-0.6517,-0.6767,-0.6977,-0.7157
exp266,0,5,0,5,10,0,0,10,15,25,0,-1.2,90,-0.6937,-0.7457,-0.7747,-0.7947,-0.8087
exp321,10,0,10,0,10,0,15,10,15,0,0,-1.3,120,-0.7607,-0.8087,-0.8347,-0.8557,-0.8727
exp109,10,10,5,0,15,5,0,0,25,0,0,-1.4,60,-0.4387,-0.4977,-0.5297,-0.5527,-0.5687
exp312,0,5,20,5,5,0,15,0,10,10,0,-1.1,90,,,,,
exp323,10,5,20,5,5,0,0,5,5,15,0,-1.4,150,0.0033,-0.3507,-0.3797,-0.4027,-0.4237
exp279,5,0,5,25,0,10,0,5,5,10,5,-1.2,120,-0.4387,-0.4967,-0.5317,-0.5567,-0.5747
exp219,5,0,5,10,0,0,10,0,20,10,10,-1.1,150,,,,,
exp497,0,0,5,25,0,5,5,10,0,10,10,-1.1,60,-0.4567,-0.5257,-0.5637,-0.5887,-0.6077
exp224,5,10,0,10,0,0,5,15,0,15,10,-1.1,60,-0.4397,-0.4837,-0.5107,-0.5327,-0.5487
exp583,0,0,0,0,5,45,0,0,0,20,20,-1.0,60,-0.5007,-0.5277,-0.5497,-0.5687,-0.5877
exp46,5,0,5,5,10,10,5,5,15,0,10,-1.5,120,-0.7217,-0.7607,-0.7827,-0.7987,-0.8117
exp409,5,5,0,5,5,0,0,0,15,25,10,-1.3,60,-0.7167,-0.7417,-0.7587,-0.7727,-0.7847
exp496,0,0,0,5,10,0,5,10,15,15,10,-1.1,150,-0.3087,-0.3617,-0.3977,-0.4267,-0.4507
exp225,10,10,0,10,0,10,0,10,15,5,0,-1.3,90,,,,,
exp339,5,0,10,5,0,10,0,10,0,20,10,-1.1,150,-0.4517,-0.5227,-0.5717,-0.6037,-0.6277
exp176,10,0,25,0,0,0,0,15,0,15,5,-1.4,90,-0.7427,-0.7897,-0.8207,-0.8497,-0.8677
exp79,10,0,5,0,5,5,5,35,0,5,0,-1.1,150,-0.4357,-0.5217,-0.5767,-0.6137,-0.6387
exp237,0,0,10,0,10,25,0,5,5,10,5,-1.1,150,-0.5307,-0.5917,-0.6327,-0.6617,-0.6857
exp38,15,10,0,5,0,5,0,0,5,15,15,-1.2,60,-0.4997,-0.5347,-0.5577,-0.5757,-0.5907
exp211,0,30,10,0,0,0,0,0,20,5,5,-1.2,90,-0.6337,-0.6797,-0.7067,-0.7277,-0.7467
exp108,5,0,0,5,5,20,0,10,0,25,0,-1.3,150,-0.3557,-0.4217,-0.4687,-0.5037,-0.5287
exp483,5,0,0,5,5,10,5,10,25,5,0,-1.5,90,-0.6377,-0.6847,-0.7157,-0.7387,-0.7577
exp518,0,0,0,8,0,0,8,0,0,15,39,-1.2,150,-0.1937,-0.2117,-0.2247,-0.2357,-0.2457
exp352,5,10,10,0,15,0,0,0,0,25,5,-1.1,90,-0.6517,-0.6927,-0.7197,-0.7407,-0.7597
exp585,0,0,0,0,25,15,0,0,0,30,30,-1.0,180,,,,,
exp21,5,0,5,5,0,15,0,10,30,0,0,-1.3,60,-0.7057,-0.7397,-0.7587,-0.7737,-0.7847
exp107,0,0,0,0,5,5,35,20,0,0,5,-1.3,150,-0.3177,-0.3757,-0.4137,-0.4427,-0.4667
exp12,0,0,0,10,10,20,0,10,0,10,10,-1.1,150,-0.3167,-0.3557,-0.3837,-0.4057,-0.4247
exp199,5,5,15,0,0,5,0,10,5,20,5,-1.1,60,-0.6407,-0.6827,-0.7077,-0.7267,-0.7437
exp134,0,5,10,5,10,0,15,0,10,15,0,-1.5,120,-0.4887,-0.5507,-0.5937,-0.6227,-0.6467
exp444,0,10,0,15,15,10,0,10,10,0,0,-1.2,150,-0.3037,-0.3477,-0.3817,-0.4097,-0.4327
exp125,5,0,0,10,5,15,0,10,25,0,0,-1.1,120,-0.5867,-0.6357,-0.6687,-0.6937,-0.7127
exp146,5,5,5,10,0,0,0,0,25,20,0,-1.5,120,-0.6907,-0.7137,-0.7277,-0.7387,-0.7477
exp568,0,20,0,0,5,25,0,20,0,0,0,-1.5,180,-0.4057,-0.4597,-0.5007,-0.5337,-0.5607
exp303,0,5,0,5,15,20,0,20,0,0,5,-1.1,90,-0.3867,-0.4497,-0.4937,-0.5277,-0.5537
exp117,5,5,5,5,25,5,0,5,5,10,0,-1.3,90,-0.3397,-0.3917,-0.4287,-0.4597,-0.4857
exp571,0,0,0,15,15,0,0,0,0,20,40,-1.5,180,-0.3207,-0.3427,-0.3677,-0.3897,-0.4097
exp99,5,5,5,5,5,0,5,5,5,25,5,-1.3,150,-0.5437,-0.6027,-0.6327,-0.6547,-0.6727
exp3,5,10,0,10,0,10,10,5,10,5,5,-1.3,120,-0.5107,-0.5787,-0.6157,-0.6417,-0.6637
exp357,0,5,5,5,10,5,5,10,5,15,5,-1.1,90,-0.4167,-0.4757,-0.5137,-0.5427,-0.5657
exp565,4,0,0,4,4,4,4,7,7,7,29,-1.3,120,-0.3157,-0.3637,-0.4017,-0.4297,-0.4517
exp501,8,0,0,8,8,0,8,0,0,7,31,-1.5,90,-0.4087,-0.4467,-0.4767,-0.5017,-0.5247
exp454,0,0,10,10,0,0,10,20,0,10,10,-1.3,90,-0.5337,-0.5837,-0.6077,-0.6257,-0.6407
exp56,0,0,10,10,0,0,0,20,5,5,20,-1.1,90,-0.5497,-0.6217,-0.6487,-0.6667,-0.6797
exp422,0,10,5,5,20,5,0,0,15,5,5,-1.1,60,-0.3847,-0.4447,-0.4917,-0.5287,-0.5597
exp216,5,0,5,0,5,15,10,15,10,0,5,-1.5,60,-0.4987,-0.6047,-0.6507,-0.6777,-0.6977
exp20,0,0,5,5,10,5,10,5,15,10,5,-1.2,150,-0.6277,-0.6907,-0.7197,-0.7397,-0.7577
exp479,0,5,5,5,5,15,5,5,5,10,10,-1.5,120,-0.3707,-0.4357,-0.4807,-0.5147,-0.5427
exp567,4,0,4,4,4,4,4,7,7,0,32,-1.3,120,-0.4197,-0.4907,-0.5297,-0.5547,-0.5737
exp144,30,5,0,5,0,5,0,25,0,0,0,-1.5,90,-0.5907,-0.6257,-0.6467,-0.6627,-0.6767
exp473,5,15,0,5,10,5,0,0,0,20,10,-1.3,150,-0.6337,-0.6757,-0.7007,-0.7197,-0.7367
exp442,0,5,5,5,0,10,15,20,0,5,5,-1.3,90,-0.4317,-0.4867,-0.5217,-0.5467,-0.5667
exp522,0,0,8,0,8,8,0,15,0,0,31,-1.1,180,-0.2987,-0.3447,-0.3777,-0.4037,-0.4267
exp365,0,5,5,0,0,0,15,30,0,5,10,-1.5,60,-0.7327,-0.7647,-0.7857,-0.8037,-0.8177
exp476,10,10,0,0,0,0,5,15,10,15,5,-1.3,120,-0.7197,-0.7597,-0.7857,-0.8077,-0.8267
exp538,0,0,0,8,8,8,0,15,15,0,16,-1.5,90,-0.3187,-0.3687,-0.4027,-0.4297,-0.4527
exp170,10,0,5,5,0,10,5,0,0,20,15,-1.3,120,-0.2747,-0.3007,-0.3187,-0.3347,-0.3457
exp289,0,5,25,5,0,0,0,0,10,15,10,-1.2,120,-0.3147,-0.3537,-0.3807,-0.4007,-0.4227
exp120,5,10,10,0,0,0,0,0,30,15,0,-1.4,120,-0.7707,-0.7937,-0.8097,-0.8227,-0.8337
exp434,5,5,15,5,5,15,0,10,10,0,0,-1.4,90,-0.4137,-0.5137,-0.5727,-0.6097,-0.6367
exp311,0,0,25,5,0,5,0,5,0,25,5,-1.2,60,-0.5497,-0.5967,-0.6227,-0.6437,-0.6567
exp74,15,5,5,0,0,15,5,0,15,5,5,-1.3,90,-0.8557,-0.9157,-0.9537,-0.9817,-1.0047
exp449,5,10,0,15,0,0,0,15,15,10,0,-1.1,150,-0.3747,-0.4377,-0.4817,-0.5167,-0.5457
exp318,0,15,0,0,0,10,15,0,10,10,10,-1.4,120,-0.7347,-0.7947,-0.8337,-0.8627,-0.8857
exp175,5,5,20,0,5,0,0,10,25,0,0,-1.3,120,-0.7287,-0.7687,-0.7867,-0.8007,-0.8107
exp310,0,0,15,5,15,0,0,0,10,15,10,-1.1,120,,,,,
exp59,0,5,20,5,0,0,10,0,0,30,0,-1.3,150,-0.0687,-0.1307,-0.1887,-0.2367,-0.2777
exp1,5,5,0,5,0,10,25,15,0,5,0,-1.2,90,-0.4867,-0.5347,-0.5597,-0.5777,-0.5917
exp181,0,0,10,25,5,5,5,5,10,5,0,-1.2,150,-0.3037,-0.3477,-0.3747,-0.3957,-0.4137
exp401,0,10,0,5,10,5,5,10,20,0,5,-1.5,90,-0.5357,-0.5897,-0.6207,-0.6427,-0.6617
exp426,0,0,20,0,5,0,5,0,15,15,10,-1.2,120,-0.5767,-0.6697,-0.7127,-0.7417,-0.7667
exp132,0,0,5,15,0,0,5,15,5,20,5,-1.1,60,-0.3057,-0.3587,-0.3957,-0.4237,-0.4467
exp285,5,0,0,15,0,10,0,0,5,15,20,-1.1,60,-0.2727,-0.2927,-0.3037,-0.3137,-0.3227
exp471,15,0,5,5,5,10,0,5,15,5,5,-1.4,60,-0.4997,-0.5617,-0.5907,-0.6117,-0.6297
exp273,5,0,5,10,0,5,10,10,10,0,15,-1.5,120,-0.3477,-0.3917,-0.4227,-0.4487,-0.4727
exp158,25,5,0,0,15,0,0,0,10,15,0,-1.2,150,-0.6507,-0.6917,-0.7157,-0.7317,-0.7457
exp558,8,0,8,0,8,8,0,15,15,0,8,-1.4,90,-0.4127,-0.4877,-0.5277,-0.5527,-0.5707
exp223,15,0,5,20,0,5,0,20,5,0,0,-1.3,60,-0.4307,-0.4597,-0.4817,-0.4997,-0.5157
exp190,0,0,5,10,10,5,10,10,5,5,10,-1.2,150,-0.2787,-0.3167,-0.3427,-0.3617,-0.3787
exp218,0,5,5,0,5,15,0,10,20,0,10,-1.2,90,-0.6007,-0.6527,-0.6807,-0.7017,-0.7167
exp379,10,0,10,15,0,10,0,15,0,5,5,-1.5,60,-0.3777,-0.4297,-0.4677,-0.4997,-0.5267
exp22,0,5,15,5,5,0,10,0,15,5,10,-1.3,150,-0.1317,-0.2037,-0.2537,-0.4017,-0.4207
exp133,15,0,10,0,20,0,0,0,0,25,0,-1.1,150,-0.5037,-0.5547,-0.5837,-0.6037,-0.6227
exp431,5,5,0,5,5,20,5,5,10,5,5,-1.4,150,-0.3177,-0.3727,-0.4117,-0.4407,-0.4657
exp54,10,0,0,5,0,5,10,5,10,10,15,-1.1,90,-0.6347,-0.6647,-0.6847,-0.6997,-0.7127
exp44,0,0,5,15,5,5,0,5,35,0,0,-1.1,150,-0.3467,-0.3917,-0.4197,-0.4407,-0.4587
exp390,0,0,0,10,0,10,0,5,20,15,10,-1.3,120,-0.6607,-0.7017,-0.7307,-0.7557,-0.7777
exp385,0,0,10,5,5,0,0,0,35,10,5,-1.2,60,-0.7357,-0.7607,-0.7787,-0.7927,-0.8057
exp329,0,0,10,0,10,15,5,20,5,0,5,-1.5,60,-0.3237,-0.3727,-0.4087,-0.4367,-0.4607
exp372,0,0,0,10,20,10,0,0,0,20,10,-1.1,150,-0.2357,-0.2567,-0.2707,-0.2837,-0.2967
exp594,0,5,0,0,45,0,0,0,0,20,20,-1.5,180,-0.2937,-0.3247,-0.3457,-0.3617,-0.3757
exp98,0,20,10,5,0,15,0,10,5,5,0,-1.4,120,-0.5227,-0.5827,-0.6147,-0.6377,-0.6657
exp577,0,0,20,0,20,10,0,0,0,20,20,-1.5,180,-0.3937,-0.4277,-0.4497,-0.4677,-0.4827
exp520,8,0,8,0,8,0,8,15,15,0,8,-1.1,90,-0.7277,-0.7697,-0.7907,-0.8037,-0.8137
exp116,0,0,10,5,0,0,20,15,5,0,15,-1.4,90,-0.3217,-0.3697,-0.4057,-0.4337,-0.4587
exp64,0,5,5,0,5,0,15,15,10,10,5,-1.4,120,-0.4717,-0.5487,-0.5907,-0.6197,-0.6417
exp102,0,15,5,15,10,0,0,0,5,15,5,-1.1,90,-0.6657,-0.6917,-0.7067,-0.7197,-0.7297
exp164,10,0,0,0,0,10,5,25,5,0,15,-1.1,150,-0.4897,-0.5317,-0.5607,-0.5847,-0.6077
exp141,20,0,10,0,10,10,0,0,5,15,0,-1.4,150,-0.5067,-0.5537,-0.5887,-0.6167,-0.6397
exp217,10,15,5,0,5,0,0,20,5,0,10,-1.3,60,,,,,
exp267,5,5,20,0,0,0,5,15,10,5,5,-1.5,60,-0.8057,-0.8267,-0.8387,-0.8477,-0.8547
exp87,0,5,0,25,0,0,15,15,5,5,0,-1.3,90,-0.3317,-0.3657,-0.3897,-0.4087,-0.4257
exp414,15,5,0,15,0,0,5,5,10,5,10,-1.5,150,-0.4017,-0.4577,-0.4967,-0.5277,-0.5527
exp542,8,0,0,8,0,0,8,0,15,0,31,-1.5,60,-0.6837,-0.6977,-0.7077,-0.7157,-0.7217
exp197,5,10,10,0,10,0,5,5,5,10,10,-1.1,150,-0.5047,-0.5587,-0.5897,-0.6117,-0.6287
exp435,0,0,0,0,5,15,5,15,5,10,15,-1.2,90,-0.3807,-0.4677,-0.5387,-0.5897,-0.6247
exp324,0,15,0,10,0,5,20,10,5,5,0,-1.5,90,-0.4227,-0.4757,-0.5077,-0.5317,-0.5527
exp582,0,30,0,0,20,0,0,0,0,20,20,-1.0,180,-0.5827,-0.6267,-0.6507,-0.6687,-0.6837
exp151,5,0,0,5,0,15,0,15,15,0,15,-1.2,90,-0.5547,-0.5997,-0.6237,-0.6427,-0.6587
exp367,5,0,10,5,20,0,5,5,20,0,0,-1.5,60,-0.7267,-0.7687,-0.7947,-0.8167,-0.8357
exp346,25,0,10,0,5,0,5,0,0,25,0,-1.5,60,-0.8107,-0.8487,-0.8757,-0.8977,-0.9167
exp580,0,0,0,0,20,0,30,15,0,5,5,-1.5,180,-0.3467,-0.3937,-0.4307,-0.4637,-0.4897
exp104,5,5,5,0,5,10,15,10,10,5,0,-1.1,150,-0.4427,-0.5397,-0.5907,-0.6237,-0.6497
exp358,10,5,0,15,5,10,0,0,10,10,5,-1.3,120,-0.3107,-0.3517,-0.3817,-0.4057,-0.4257
exp291,10,5,10,0,0,0,0,25,10,5,5,-1.2,60,-0.7747,-0.7937,-0.8067,-0.8167,-0.8257
exp94,10,5,5,5,5,0,0,35,0,5,0,-1.4,90,,,,,
exp235,0,5,0,5,10,5,0,5,40,0,0,-1.5,90,-0.5967,-0.6437,-0.6727,-0.6937,-0.7127
exp127,0,5,15,5,15,0,0,5,0,15,10,-1.5,90,-0.2427,-0.2817,-0.3087,-0.3297,-0.3477
exp13,0,0,5,0,0,10,5,35,10,5,0,-1.5,120,-0.6827,-0.7197,-0.7417,-0.7587,-0.7737
exp491,10,15,0,5,0,0,5,20,0,5,10,-1.2,90,-0.6267,-0.6537,-0.6727,-0.6877,-0.7017
exp359,20,5,5,5,0,0,10,20,0,0,5,-1.5,150,-0.5037,-0.5717,-0.6127,-0.6407,-0.6627
exp373,0,10,15,0,10,5,0,10,5,15,0,-1.1,150,-0.4457,-0.5187,-0.5647,-0.5977,-0.6237
exp207,10,5,5,5,5,5,15,5,0,15,0,-1.4,150,-0.2417,-0.2807,-0.3077,-0.3297,-0.3487
exp283,0,5,0,0,15,10,20,15,0,5,0,-1.4,90,-0.3027,-0.3447,-0.3747,-0.4067,-0.4247
exp78,0,5,0,0,25,5,0,10,0,10,15,-1.1,90,-0.4417,-0.5147,-0.5567,-0.5837,-0.6037
exp9,5,0,5,0,15,20,0,15,5,5,0,-1.3,120,-0.2617,-0.2977,-0.3217,-0.3407,-0.3567
exp238,0,15,15,5,0,5,0,5,5,10,10,-1.5,150,-0.5077,-0.5807,-0.6207,-0.6477,-0.6667
exp364,10,0,5,0,10,15,0,5,5,20,0,-1.2,120,-0.4407,-0.4857,-0.5127,-0.5327,-0.5497
exp319,5,0,5,0,10,0,5,5,25,15,0,-1.5,60,-0.7847,-0.8147,-0.8357,-0.8517,-0.8677
exp593,0,0,0,5,20,20,0,5,0,25,20,-1.5,180,-0.2517,-0.2877,-0.3107,-0.3287,-0.3447
exp269,10,15,10,0,0,10,0,5,0,20,0,-1.3,120,,,,,
exp173,0,10,0,0,5,10,10,10,0,15,10,-1.1,150,-0.4417,-0.5227,-0.5747,-0.5957,-0.6207
exp326,10,5,5,0,0,15,15,10,5,5,0,-1.4,60,-0.6097,-0.6517,-0.6827,-0.7077,-0.7307
exp36,10,10,0,0,5,0,0,35,10,0,0,-1.1,60,-0.8257,-0.8477,-0.8627,-0.8747,-0.8847
exp242,0,10,5,0,0,15,5,25,5,5,0,-1.4,150,-0.6087,-0.6427,-0.6657,-0.6847,-0.7007
exp561,0,0,8,0,0,0,8,7,7,0,40,-1.1,60,-0.8257,-0.8437,-0.8557,-0.8657,-0.8747
exp245,20,0,0,15,10,0,5,20,0,0,0,-1.1,120,-0.4347,-0.5027,-0.5407,-0.5637,-0.5797
exp142,25,5,5,0,0,0,5,0,10,10,10,-1.2,150,-0.7807,-0.8107,-0.8327,-0.8497,-0.8657
exp482,0,5,10,20,0,0,0,25,0,0,10,-1.4,120,-0.3187,-0.3587,-0.3877,-0.4117,-0.4317
exp143,5,0,0,0,5,0,15,15,5,20,5,-1.2,90,-0.6777,-0.7097,-0.7297,-0.7457,-0.7587
exp457,5,10,5,5,0,0,0,0,35,5,5,-1.2,120,-0.6717,-0.6947,-0.7107,-0.7237,-0.7357
exp403,0,15,5,0,5,5,0,15,5,20,0,-1.5,90,-0.4627,-0.5287,-0.5717,-0.6037,-0.6287
exp188,5,0,0,10,15,5,10,0,5,20,0,-1.3,90,-0.2937,-0.3207,-0.3407,-0.3587,-0.3737
exp540,0,0,0,8,0,8,8,15,15,15,1,-1.4,180,-0.6237,-0.6457,-0.6597,-0.6697,-0.6787
exp502,8,0,0,8,0,0,0,15,0,15,24,-1.4,90,-0.3377,-0.3837,-0.4167,-0.4437,-0.4647
