Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp187,0,30,5,0,10,0,0,0,10,10,5,-1.2,90,173.1063282150097,0.0022015623348708,0.9984030266857232,-0.7807,0.4218253137617
exp188,5,0,10,0,10,15,5,0,5,20,0,-1.3,90,92.86331198242206,0.0060886034575936,0.9950076921333298,-0.3737,14.4762918579559
exp189,20,0,10,0,5,0,10,15,10,0,0,-1.2,60,143.89362473634404,0.0014043462491207,0.999757968602164,-0.6747,1.1186080471323
exp190,0,0,10,5,10,10,5,10,5,5,10,-1.2,150,105.18675061406128,0.0174026970837276,0.9883423392388884,-0.3787,15.5956571034271
exp191,20,0,0,0,20,5,0,0,25,0,0,-1.5,90,133.95691187193316,0.0156266365312094,0.9942768221029288,-0.4827,4.5474907736792005
exp192,0,10,0,0,0,5,10,0,0,20,25,-1.3,60,133.84087909655562,0.0026111256276451,0.9975779669634002,-0.5907,1.1884996412099
exp193,20,5,0,0,0,10,0,20,0,5,10,-1.4,120,134.93803998569302,0.000687888355976,0.9972630031885767,-0.6907,0.416084633233
exp194,0,15,0,5,10,0,5,0,15,15,5,-1.2,120,118.3243072377582,0.0001341934535375,0.9965279221269416,-0.7337,0.1703603756894
exp195,0,15,0,0,0,0,10,10,30,5,0,-1.2,150,245.86675878790356,0.0427468663753166,0.9969450741355772,-0.7807,3.7546513856071
exp196,0,10,15,0,20,5,0,15,0,5,0,-1.4,150,88.44463029090427,0.0067051586298374,0.9917155945979912,-0.3527,18.5452618921832
exp197,5,10,5,10,0,10,0,5,5,10,10,-1.1,150,140.92084573060706,0.0021995591983622,0.9995897054996284,-0.6287,0.5994566906372001
exp198,5,0,0,15,0,10,10,15,10,0,5,-1.1,60,175.58893270055668,0.0067259188461954,0.9990182626161616,-0.6797,3.6766460401759
exp199,5,5,0,15,0,0,5,10,5,20,5,-1.1,60,148.81315208730632,0.0007089855680779,0.9995377016005662,-0.7437,1.3994585780041
exp200,15,0,5,0,0,10,0,25,5,10,0,-1.3,120,148.91862498270635,0.0006983033443511,0.9993318301663902,-0.7497,0.3257665340544
exp201,5,20,0,0,5,0,20,15,0,5,0,-1.4,90,136.5532189800491,0.0039748726234313,0.9972373699521568,-0.5777,6.5317106778288
exp202,5,0,0,5,5,10,0,5,25,15,0,-1.2,150,155.76070838514684,0.0005922595159575,0.9999658356140396,-0.8097,0.4775874549952
exp203,0,0,0,10,0,20,15,10,10,0,5,-1.2,90,176.09717300300392,0.0355879100073274,0.9986033150225412,-0.5547,8.9105560025105
exp204,5,5,5,0,15,0,0,0,35,5,0,-1.2,120,54.33712120068045,0.0184295697112277,0.0066715190133691,-0.3677,17.827087702147402
exp205,0,5,0,15,0,0,5,0,0,45,0,-1.3,90,182.2694364455732,0.0224200810213829,0.994540730373692,-0.6177,1.1372055281029
exp206,10,0,0,10,0,0,15,25,5,5,0,-1.4,60,120.33466724233418,3.260529066659159e-05,0.996275671327965,-0.7677,2.2562268843396
exp207,10,5,15,5,5,5,5,5,0,15,0,-1.4,150,343.7966588493783,2.7186443985065334,0.5773288655375606,-0.3487,30.9024391115739
exp208,15,0,5,10,10,10,0,5,10,5,0,-1.5,60,124.04826778381651,0.0003885255855738,0.998905607302832,-0.6557,0.3763575053528
exp209,0,10,0,20,0,0,10,20,0,0,10,-1.5,120,87.49441167177567,0.1190626466969505,0.021417617388203,-0.4177,23.4727289294754
exp210,0,10,0,10,5,0,20,10,5,10,0,-1.1,60,144.88557587443665,0.0098936540066502,0.999618749574638,-0.5507,8.2162561168596
exp211,0,30,0,10,0,0,0,0,20,5,5,-1.2,90,164.8754650996561,0.0026756562635228,0.9982631928531466,-0.7467,0.6437630251382
exp212,0,25,0,0,10,0,0,0,10,25,0,-1.5,150,110.96224962155372,0.0608809891397612,0.9907191860320514,-0.3397,6.2713951177789005
exp213,0,5,0,0,25,5,10,15,10,0,0,-1.3,60,240.94124761518376,0.2711085643756568,0.9913557741240426,-0.5717,6.2598868098395
exp214,0,0,0,0,0,10,15,30,0,0,15,-1.1,150,,,,,
exp215,5,0,10,0,0,10,0,5,15,0,25,-1.3,60,131.272301815587,0.0001507449178889,0.9971739755190794,-0.7367,0.2268298183173999
exp216,5,0,10,5,0,5,15,15,10,0,5,-1.5,60,300.18966674318636,0.2328447017705624,0.9826260170092468,-0.6977,1.6856646027172
exp217,10,15,0,5,0,5,0,20,5,0,10,-1.3,60,,,,,
exp218,0,5,0,5,0,5,15,10,20,0,10,-1.2,90,200.91887240540777,0.0147120113314944,0.9997897829821292,-0.7167,0.8738090080661
exp219,5,0,10,5,10,0,0,0,20,10,10,-1.1,150,,,,,
exp220,10,5,0,0,0,5,5,5,10,30,0,-1.5,150,140.0040884176262,0.0008858146355604,0.9991223358845814,-0.6807,0.9403706728616
exp221,0,5,5,0,10,0,0,5,30,5,10,-1.5,150,110.6741795050527,7.077305021756895e-06,0.9977631516683894,-0.7857,0.1843930006103
exp222,10,10,5,15,0,5,0,20,0,0,5,-1.2,90,158.2045165285651,0.0004459358242059,0.9997519121168658,-0.8217,0.1820900911467
exp223,15,0,0,5,20,0,5,20,5,0,0,-1.3,60,100.81068115784672,0.0003662394834363,0.9972762743898348,-0.5157,3.2493921052459
exp224,5,10,5,0,10,0,0,15,0,15,10,-1.1,60,118.16674192689464,0.0011748781223811,0.9987541152374992,-0.5487,1.336970684942
exp225,10,10,0,0,10,0,10,10,15,5,0,-1.3,90,,,,,
exp226,0,0,0,5,0,10,15,15,5,0,20,-1.4,120,115.9015887179442,0.0289031723565671,0.9952917976714668,-0.3847,10.985340036296
exp227,0,5,0,5,15,5,5,20,0,15,0,-1.2,60,,,,,
exp228,0,0,5,0,20,0,0,25,10,10,0,-1.3,90,,,,,
exp229,10,10,0,0,5,0,10,5,5,20,5,-1.5,90,,,,,
exp230,15,0,10,0,20,0,0,20,5,0,0,-1.1,90,113.35176159854856,0.0002205346601965,0.9995880213817828,-0.6167,0.6970239983893
exp231,0,0,15,15,0,0,0,0,10,15,15,-1.4,120,,,,,
exp232,25,5,5,0,0,0,0,25,10,0,0,-1.3,120,113.94031003110692,1.3598237160257845e-06,0.9972847183819404,-0.8797,0.1486056515453999
exp233,5,15,0,0,10,0,15,0,10,10,5,-1.3,60,143.07684197287668,0.001437577507842,0.7701762118995504,-0.6607,0.9343850560275
exp234,0,15,5,0,0,0,10,5,30,5,0,-1.4,150,132.98205750595807,1.6141146815826122e-05,0.9264456276318404,-0.8757,0.1750059638739
exp235,0,5,0,0,5,10,5,5,40,0,0,-1.5,90,168.8718776607484,0.0045362388587439,0.9981219620677476,-0.7127,0.3748126984858
exp236,0,0,0,15,5,0,15,10,5,15,5,-1.4,90,,,,,
exp237,0,0,0,10,0,10,25,5,5,10,5,-1.1,150,148.73396130666444,0.0014590739397291,0.9981146338675808,-0.6857,1.0875263289686
exp238,0,15,0,15,5,0,5,5,5,10,10,-1.5,150,164.9168862175057,0.0057697326709907,0.9979460427611404,-0.6667,1.6087970305975
exp239,5,5,20,10,0,5,5,15,5,0,0,-1.1,90,169.29282454310825,0.0061135360458475,0.999332247070142,-0.6727,1.9108307946951
exp240,5,10,5,10,0,0,5,25,0,0,10,-1.4,150,135.9100309982116,0.0008806779789352,0.9932929381740624,-0.6677,7.3770700812829
exp241,0,15,0,5,0,0,15,5,5,10,15,-1.3,90,115.68602916478284,8.627178247345295e-05,0.9456885141456376,-0.6807,1.3560572789468
exp242,0,10,5,5,0,0,15,25,5,5,0,-1.4,150,116.55599992246049,6.827454997050119e-05,0.9960035040916264,-0.7007,1.2663288733956
exp243,10,0,0,0,5,5,0,10,5,10,25,-1.4,120,171.52162485589562,0.0144988637757794,0.9988797071069272,-0.6147,0.9191715246989
exp244,10,5,0,5,0,0,5,5,0,30,10,-1.5,150,155.92791515208708,0.0006044798787875,0.9988958788833032,-0.7927,0.3561069597735999
exp245,20,0,5,0,15,10,0,20,0,0,0,-1.1,120,172.36409019246773,0.0220797544954928,0.9999496964865888,-0.5797,1.9935460572095
exp246,5,0,5,0,0,10,5,0,25,5,15,-1.4,60,131.84812985773243,0.0002746881598689,0.9991687246528048,-0.7047,0.3798379754704
exp247,5,0,5,0,10,0,0,10,15,0,25,-1.1,60,83.55967995966746,1.2271982960121286e-07,0.996050999561378,-0.7577,0.2150871267609
exp248,0,5,0,0,0,30,0,0,20,10,5,-1.3,90,,,,,
exp249,0,0,5,0,10,0,5,25,15,5,5,-1.5,60,105.52869588040112,1.7923642110755992e-05,0.9986034474862148,-0.7157,0.3170347134642
exp250,0,35,0,0,0,0,0,10,15,0,10,-1.3,150,,,,,
exp251,5,5,0,20,5,5,5,15,0,5,5,-1.4,90,,,,,
exp252,5,0,0,0,0,10,35,10,5,5,0,-1.2,90,118.39438798046989,0.0007768518685566,0.9956218923276586,-0.5777,6.9345752431412
exp253,10,5,0,5,0,20,10,5,10,5,0,-1.2,120,160.1435328873498,0.0022037904044446,0.9998903184195328,-0.7167,0.7431301585368
exp254,5,0,0,10,0,15,0,0,0,25,15,-1.1,90,149.1207190874507,0.0024897564708857,0.9998999045060112,-0.6487,0.6819147460681
exp255,0,5,10,0,25,0,0,0,10,10,10,-1.2,60,102.56463132323486,3.742790827586656e-05,0.9954797494957056,-0.6857,0.2309370566313
exp256,0,10,0,0,5,5,15,15,5,0,15,-1.5,60,154.34034104154014,0.0214486637304707,0.9943703232848368,-0.5147,3.8535781816363
exp257,5,0,5,10,10,0,5,10,10,0,15,-1.3,150,,,,,
exp258,0,20,0,0,0,0,0,0,15,30,5,-1.4,60,128.31810649371906,4.026338264175524e-05,0.9979055117983489,-0.8267,0.1932953280479
exp259,20,5,5,10,5,0,0,5,20,0,0,-1.3,120,122.18136719619348,1.4404683208073757e-05,0.9985302782541154,-0.8347,0.1807583816686
exp260,5,25,15,5,0,0,0,15,0,5,0,-1.2,150,141.3316530822425,0.0001909532820118,0.9994530718159252,-0.7817,0.3897702344363999
exp261,0,0,0,10,5,5,5,5,0,15,25,-1.3,60,140.20267758248642,0.0064699252138731,0.9978971477087848,-0.5397,4.8622282745039005
exp262,5,5,10,0,10,0,0,20,10,5,5,-1.2,60,107.14880024340144,4.203663479615062e-06,0.9992278382525672,-0.7827,0.1729440571943
exp263,0,5,10,20,0,5,5,0,15,5,5,-1.2,90,134.68505652517248,5.723660291395313e-05,0.9996027392598856,-0.8287,0.1978916251406
exp264,0,10,15,0,15,0,5,5,10,5,5,-1.4,120,,,,,
exp265,0,0,0,0,0,15,5,5,5,10,30,-1.1,120,143.3128182860916,0.0108113452461537,0.9079766424013496,-0.5377,1.5250283168098
exp266,0,5,0,0,5,10,0,10,15,25,0,-1.2,90,174.42087666784383,0.0019479563997533,0.9998338878091744,-0.8087,0.3408151378062
exp267,5,5,5,20,0,0,0,15,10,5,5,-1.5,60,102.18821503816646,4.0917362676306443e-07,0.9997232225882536,-0.8547,0.2496201979416
exp268,0,0,0,0,5,15,10,5,10,10,15,-1.4,120,,,,,
exp269,10,15,0,10,0,0,10,5,0,20,0,-1.3,120,,,,,
exp270,0,10,0,5,10,5,15,0,25,0,0,-1.3,120,156.11013371397027,0.0010436281004795,0.9304779626660422,-0.7497,0.1884406031236
exp271,10,0,0,10,5,15,0,0,15,10,5,-1.5,60,149.79991005190786,0.0006284849969492,0.9955012711683188,-0.7587,0.3026460279991
exp272,0,20,20,0,0,10,0,0,5,15,0,-1.5,60,143.95412797185298,0.0001573090016053,0.9975926846071652,-0.8277,0.1897511710547
exp273,5,0,10,5,10,0,5,10,10,0,15,-1.5,120,130.3914505757103,0.0124201178235674,0.996972373334878,-0.4727,9.4085739865539
exp274,5,5,5,0,5,0,15,15,0,5,15,-1.1,150,,,,,
exp275,0,5,0,0,15,10,10,20,0,0,10,-1.3,90,99.52994740925509,0.0108335056344956,0.9945648255941446,-0.3707,14.3508865855556
exp276,25,0,0,0,10,0,0,15,10,10,0,-1.3,60,99.0825699231093,4.354162020892513e-06,0.9286011193348244,-0.7387,0.2337389988370999
exp277,15,0,0,0,0,5,0,5,20,0,25,-1.3,150,139.7177659589957,7.491090575604677e-05,0.9974857563009808,-0.8367,0.2259438084574
exp278,10,0,0,15,5,10,5,10,10,5,0,-1.5,120,496.1496440547185,2.7775684161922554,0.5431682823673075,-0.4627,22.6680000888089
exp279,5,0,0,5,25,0,10,5,5,10,5,-1.2,120,142.62192756483597,0.0049653006140682,0.999360722052302,-0.5747,2.3940870417254
exp280,0,0,5,0,10,0,5,25,5,10,10,-1.4,60,123.14603985050428,0.0001364444837057,0.9957754231874028,-0.7157,0.2455803087472
exp281,5,0,5,10,0,25,0,0,15,5,5,-1.4,120,178.3187468182537,0.0082649108504825,0.995088909730586,-0.6817,0.747479340063
exp282,0,10,5,5,10,10,0,30,0,0,0,-1.1,120,137.77237443297196,0.0003739402306139,0.9944825633993326,-0.7357,0.3237437365239
exp283,0,5,20,0,0,15,10,15,0,5,0,-1.4,90,127.35418917744131,0.0240459012439856,0.9931396823649772,-0.4247,4.9469758563832
exp284,5,0,5,0,10,5,10,5,15,0,15,-1.3,90,181.25778757961808,0.0067790066141773,0.9999193648921916,-0.7187,0.8632091807925
exp285,5,0,0,0,15,0,10,0,5,15,20,-1.1,60,317.10891524960346,3.0205466206029796,0.4202501687369775,-0.3227,40.7259845900313
exp286,0,10,5,5,0,15,0,5,15,0,15,-1.4,150,165.19765045887286,0.0023656826611422,0.9963638816054212,-0.7347,0.2992729475357
exp287,0,5,20,10,10,0,0,5,5,10,5,-1.2,60,128.14178131156996,0.0106369886738784,0.9981725037914164,-0.4717,8.7538304054456
exp288,5,0,10,0,0,0,10,15,25,0,5,-1.3,90,145.92901004056645,0.0004249190347484,0.999900956595994,-0.7597,0.7123407959566
exp289,0,5,0,25,5,0,0,0,10,15,10,-1.2,120,400.4868946295519,2.241091479453537,0.5767314396632857,-0.4227,19.0036780875175
exp290,5,5,0,5,10,0,0,0,20,5,20,-1.3,150,125.93808504175502,0.0001141375920931,0.9992712769506596,-0.7497,0.302273772198
exp291,10,5,0,10,0,0,0,25,10,5,5,-1.2,60,109.17076323221052,2.8415808301032967e-06,0.999067231765727,-0.8257,0.2329456301869
exp292,0,0,0,10,5,5,10,10,10,20,0,-1.1,150,166.1305111837431,0.0040278381820703,0.998432867314668,-0.6717,2.5466516966067
exp293,15,5,0,0,0,0,5,10,5,30,0,-1.2,120,139.7048849026688,0.0001705767821336,0.9987847435259982,-0.7897,0.2705091223871
exp294,10,0,10,15,0,0,10,0,0,25,0,-1.3,120,125.01034888363591,0.0025753972017811,0.9974299395485572,-0.5397,4.9201426396842
exp295,10,0,0,5,5,0,5,15,15,5,10,-1.1,120,136.20708419850277,0.0002035541081434,0.9992702518314448,-0.7767,0.2735068635304
exp296,10,0,5,5,5,0,10,10,0,15,10,-1.2,60,109.55325581850106,0.0001982987381029,0.9989419224887468,-0.6077,2.2568970297818
exp297,0,0,0,5,20,0,5,0,40,0,0,-1.2,120,,,,,
exp298,5,0,10,5,0,0,0,0,25,0,25,-1.1,60,149.4175418643684,6.08306669054619e-05,0.9968805289654008,-0.8937,0.4547821279898
exp299,5,0,5,0,5,10,5,15,5,0,20,-1.5,90,101.77277756845358,0.022005999697144,0.9934907577601586,-0.3407,18.5077894496991
exp300,0,5,0,10,10,0,20,5,10,10,0,-1.5,90,,,,,
exp301,5,25,0,0,0,0,0,15,5,15,5,-1.2,150,,,,,
exp302,0,0,5,5,15,0,15,0,15,10,5,-1.2,150,144.6212408172759,0.0010973816138613,0.997168276030228,-0.7097,0.6521368500725
exp303,0,5,0,0,5,15,20,20,0,0,5,-1.1,90,164.2494776774554,0.0207963714646616,0.9965192404801118,-0.5537,4.6000998584528
exp304,0,5,0,20,5,20,0,0,15,5,0,-1.3,60,151.93583892264684,0.0010565773729827,0.9995142240773556,-0.7267,1.4989734761669
exp305,5,0,20,0,15,0,10,15,0,5,0,-1.2,120,129.9445181211996,0.0118041465138291,0.998275370808626,-0.4677,9.1139475405029
exp306,5,10,15,5,0,5,5,5,15,0,5,-1.3,150,,,,,
exp307,5,10,5,5,15,10,0,0,20,0,0,-1.5,90,,,,,
exp308,0,0,5,0,0,10,25,0,5,15,10,-1.3,150,,,,,
exp309,0,0,0,10,10,10,5,10,5,15,5,-1.2,90,,,,,
exp310,0,0,0,15,5,15,0,0,10,15,10,-1.1,120,,,,,
exp311,0,0,0,25,5,0,5,5,0,25,5,-1.2,60,137.77916186062853,0.0010368085293011,0.999742174153656,-0.6567,0.7578607348267
exp312,0,5,15,20,5,5,0,0,10,10,0,-1.1,90,,,,,
exp313,5,5,10,0,10,0,5,25,10,0,0,-1.4,90,,,,,
exp314,5,25,0,0,0,5,0,25,0,10,0,-1.4,90,,,,,
exp315,0,35,0,0,0,0,0,15,5,15,0,-1.3,60,,,,,
exp316,5,20,0,10,5,10,0,20,0,0,0,-1.5,90,,,,,
exp317,0,5,0,10,5,10,10,0,5,25,0,-1.5,60,170.9861867595619,0.0042201601219916,0.9940417261849512,-0.7297,0.3041598549945
exp318,0,15,15,0,0,0,10,0,10,10,10,-1.4,120,180.6507288336294,0.0007425496526338,0.9986032532282568,-0.8857,0.3202740542016999
exp319,5,0,5,5,0,10,0,5,25,15,0,-1.5,60,148.375786367214,0.0001075894293034,0.9976063290489788,-0.8677,0.1174140027631999
exp320,0,5,15,0,20,0,5,5,10,5,5,-1.3,120,130.01933450383592,0.0257002283417292,0.9877105401979466,-0.4377,10.0355580292913
exp321,10,0,15,10,0,10,0,10,15,0,0,-1.3,120,182.88354677058751,0.0011309507257534,0.9992155126580058,-0.8727,0.1456801877267
exp322,0,10,5,5,0,5,20,10,0,15,0,-1.5,150,169.13389238963447,0.0275671823093059,0.9948988514430532,-0.5607,4.1958531351206
exp323,10,5,0,20,5,5,0,5,5,15,0,-1.4,150,138.78113243459308,0.545356764255722,0.0483484874694529,-0.4237,44.4131589939882
exp324,0,15,20,0,10,0,5,10,5,5,0,-1.5,90,149.54862947687224,0.0125226150810953,0.9975116671244224,-0.5527,2.0626255645008
exp325,0,0,10,0,0,0,20,40,0,0,0,-1.4,90,93.18299907643636,5.208696854374163e-06,0.992424723608559,-0.6637,3.8843089302271
exp326,10,5,15,5,0,0,15,10,5,5,0,-1.4,60,141.0594787325195,0.0004355211770256,0.9944197011463372,-0.7307,0.3459146453121
exp327,0,0,0,15,10,10,0,20,5,5,5,-1.2,60,160.10541616804338,0.0133434616148789,0.9986266271283362,-0.5807,2.7107322551927
exp328,0,5,5,5,5,10,0,25,0,15,0,-1.2,120,156.15842875684626,0.0162761274050302,0.9920545239209164,-0.5487,4.9538966837431
exp329,0,0,5,10,0,10,15,20,5,0,5,-1.5,60,156.5246496964081,0.0600695257578796,0.9950078079543404,-0.4607,7.3661949346425
exp330,5,15,25,0,5,0,0,0,10,10,0,-1.5,120,133.2574838812002,0.0002596270281463,0.9976084620642997,-0.7297,0.2728259302928
exp331,15,20,0,10,0,0,5,15,5,0,0,-1.1,150,118.32825138673554,4.117927991490911e-06,0.9987410203811274,-0.8567,0.215555188674
exp332,0,5,0,5,0,25,5,10,0,15,5,-1.4,120,103.5902790788228,0.0434438063968776,0.9896984201773782,-0.3317,14.715109864775
exp333,0,20,5,0,0,5,5,10,15,5,5,-1.1,150,159.02965444567448,0.002653338207419,0.999602068621128,-0.6987,0.3423142434849
exp334,0,0,30,10,0,0,0,5,5,15,5,-1.4,120,151.55410440467253,6.0061440488268934e-05,0.9980619120013894,-0.9207,0.1491438024792
exp335,0,0,10,0,0,30,10,5,5,10,0,-1.5,150,115.38810422033788,0.0635381999096733,0.990210754528246,-0.3487,8.936293982184
exp336,10,0,0,5,0,5,0,0,0,35,15,-1.4,150,160.00768600327424,0.0018034776806069,0.996053504645386,-0.7287,0.2650776980198
exp337,15,10,0,0,5,0,15,0,0,20,5,-1.5,60,146.36673343598642,0.0013213574470084,0.996776247142481,-0.6827,1.0781059522477998
exp338,20,15,5,0,0,0,5,5,15,0,5,-1.2,150,138.87770577572735,0.0001814680571135,0.9978889254429292,-0.7797,0.9946499669713
exp339,5,0,0,10,5,0,10,10,0,20,10,-1.1,150,184.9106112817616,0.0218558798430947,0.9993308720271455,-0.6277,4.0595614128576
exp340,5,10,5,0,5,5,5,25,0,10,0,-1.4,90,150.01706181660924,0.0185090055922498,0.9933878480007204,-0.5297,3.2602560390898
exp341,5,15,10,10,0,5,0,15,5,5,0,-1.3,120,138.62767169106326,0.0002264466967356,0.9977108643076112,-0.7657,0.2483240167518
exp342,0,10,0,0,0,5,10,20,5,0,20,-1.4,60,140.01609456618064,0.0026860869543851,0.9926151751337982,-0.6107,2.0024195388238
exp343,0,5,15,5,0,10,10,20,0,0,5,-1.1,150,143.6370937991775,0.0274774354485539,0.9955759924990094,-0.4777,5.3467255249142
exp344,5,20,0,0,0,0,10,5,15,5,10,-1.4,120,142.96096123623113,0.0004389698394011,0.9987060375242384,-0.7507,1.5151733085861
exp345,5,20,10,0,0,10,0,10,0,10,5,-1.3,150,142.02880559725895,0.0002659820811976,0.9965796924905188,-0.7747,0.1581697790301
exp346,25,0,5,10,0,5,0,0,0,25,0,-1.5,60,153.45622530481634,7.977992005371854e-05,0.9961412888397184,-0.9167,0.0791435961909299
exp347,0,20,10,0,0,5,0,0,0,20,15,-1.3,60,154.1984867704335,8.267054183740026e-05,0.9972298767961176,-0.9187,0.0776995543856516
exp348,10,0,0,5,5,15,0,5,25,5,0,-1.1,60,140.6168482121005,7.54253144761507e-05,0.9985265940640492,-0.8507,0.1324444851889999
exp349,0,0,0,0,20,5,15,15,10,0,5,-1.5,120,86.35993112228046,0.0061943880138775,0.9824228449068916,-0.3517,31.877565384413803
exp350,0,0,0,5,15,0,25,10,15,0,0,-1.1,60,179.70105313430577,0.0090420967294345,0.9997509625012538,-0.6777,6.2506199760901
exp351,5,5,5,0,5,0,5,0,40,0,5,-1.1,150,169.38403945168866,0.0007492174546282,0.9965700916091637,-0.8387,0.1418692475601
exp352,5,10,0,10,0,15,0,0,0,25,5,-1.1,90,161.45834841339254,0.001433236193183,0.9976667535436672,-0.7597,0.1970136541324
exp353,20,5,5,0,0,0,10,10,0,20,0,-1.1,120,119.50147944442612,0.0002865243905413,0.9981398823730542,-0.6517,1.8984929749221
exp354,5,5,5,0,5,10,15,10,5,5,5,-1.4,60,189.7097754728824,0.0777204141483949,0.9925344840322246,-0.5397,4.2433098494784
exp355,0,10,0,10,5,0,5,15,5,10,10,-1.2,90,146.7917611838117,0.006674097385226,0.9986354283318404,-0.5747,3.6105620676388
exp356,10,5,0,10,20,0,0,0,5,20,0,-1.1,120,127.27332639607653,0.0003031291808292,0.996133749569014,-0.7127,0.3655070268646
exp357,0,5,5,5,5,10,5,10,5,15,5,-1.1,90,160.8444609555676,0.0183694668144254,0.9942931293047896,-0.5657,2.3849165114297004
exp358,10,5,0,0,15,5,10,0,10,10,5,-1.3,120,126.5215496102622,0.0264464589785326,0.989743726673148,-0.4257,10.9028834819331
exp359,20,5,10,5,5,0,0,20,0,0,5,-1.5,150,154.62783239372052,0.0029694011755049,0.9992578406030987,-0.6627,0.8597767991038
exp360,0,15,10,0,0,0,0,5,30,0,10,-1.5,60,107.88431284013608,7.050887598510329e-07,0.9968306865241868,-0.8727,0.1062796895127
exp361,5,20,15,0,0,0,5,10,0,15,0,-1.2,60,122.2500957891028,0.0003372255305517,0.9967923155826508,-0.6537,0.5135858759115
exp362,0,0,25,0,5,5,5,10,5,10,5,-1.1,150,211.61536692228287,0.1293983442255115,0.9980844783040264,-0.5397,4.0494337256997
exp363,0,0,0,30,5,5,0,5,0,15,10,-1.1,150,136.58350513130154,0.0175448899455576,0.9967120693009895,-0.4827,3.9984319591335
exp364,10,0,0,5,0,10,15,5,5,20,0,-1.2,120,127.3224891520552,0.0033502041564671,0.9966038037334556,-0.5497,4.4730757837712
exp365,0,5,15,5,0,0,0,30,0,5,10,-1.5,60,135.9051399031207,8.112553304902165e-05,0.9961332758471724,-0.8177,0.1982868400468
exp366,5,15,0,20,5,0,5,20,0,0,0,-1.5,150,430.29679585367774,2.7453051262498285,0.5116402657159881,-0.4327,20.9605344277789
exp367,5,0,5,10,5,20,0,5,20,0,0,-1.5,60,152.61751741397657,0.0002688825646762,0.99635177422316,-0.8357,0.1617452043531
exp368,25,10,0,0,0,5,5,5,5,10,5,-1.2,150,,,,,
exp369,15,0,0,0,0,5,5,45,0,0,0,-1.5,120,180.5467018549085,0.0378028375653845,0.9913289563970692,-0.5807,4.367476379143199
exp370,0,5,5,0,0,0,30,20,5,5,0,-1.4,60,94.34756793231088,6.862380302264381e-06,0.9928587347975832,-0.6607,4.4928208854206
exp371,5,5,0,0,10,0,25,0,5,20,0,-1.2,90,121.83540180708968,0.0013400213113833,0.9975658065217856,-0.5727,1.0862763372663
exp372,0,0,0,0,10,20,10,0,0,20,10,-1.1,150,303.58642505623095,2.4840957871555833,0.624532112894288,-0.2967,26.5047911768522
exp373,0,10,0,15,0,10,5,10,5,15,0,-1.1,150,176.44020006271856,0.0164791390901133,0.9935402058898332,-0.6237,2.8686734459939003
exp374,0,5,0,0,20,0,0,5,10,20,10,-1.3,90,146.91814020147157,0.0308333346487227,0.9955550734833916,-0.4857,4.8270531893406
exp375,5,5,0,5,5,0,20,0,0,30,0,-1.4,60,135.72227377102652,0.002628140333702,0.99510053411188,-0.5847,0.9409694723648
exp376,0,0,15,5,0,10,5,10,5,15,5,-1.1,90,199.521450392266,0.059693541193952,0.9981477357699918,-0.5747,3.2903196262891
exp377,0,15,5,0,0,0,0,10,5,25,10,-1.5,150,149.12276959681498,8.846936265560713e-05,0.9963596909043416,-0.8907,0.125248607931
exp378,0,0,0,0,15,0,5,20,10,5,15,-1.3,90,117.45024684722898,0.0168904310670215,0.9827991139394882,-0.4317,12.7655514273686
exp379,10,0,0,10,15,0,10,15,0,5,5,-1.5,60,160.61205588387134,0.0256637263874911,0.9948110955117488,-0.5267,7.4909507691038
exp380,0,10,0,0,5,5,0,30,0,15,5,-1.5,60,117.32938660538584,4.414206662161046e-05,0.9959942326494716,-0.7507,0.1068604282752
exp381,5,5,10,0,5,20,0,15,0,5,5,-1.3,60,126.73781979090542,0.000213954656428,0.9982517540331318,-0.7167,0.139151211434
exp382,5,5,5,0,20,0,0,0,15,10,10,-1.5,120,175.55840864252505,0.0504879202498445,0.991434691388848,-0.5407,3.6241248492587
exp383,0,10,0,0,0,5,15,0,35,5,0,-1.2,120,184.3301696233845,0.001596375182214,0.9969670362412,-0.8417,0.1405678126326
exp384,0,0,0,20,0,15,5,5,15,5,5,-1.3,60,146.46195330434176,0.0001401190055196,0.9981284241379864,-0.8387,0.1889251858263
exp385,0,0,0,10,5,5,0,0,35,10,5,-1.2,60,125.19539298200854,4.4232137469753015e-05,0.9954182755204132,-0.8057,0.126833737461
exp386,0,0,10,0,0,25,0,5,20,0,10,-1.2,120,179.78309381679256,0.0014672428934258,0.9981546064313132,-0.8407,0.1892999825918
exp387,10,15,15,0,0,0,0,15,10,0,5,-1.1,150,146.3946173433491,3.411062153144969e-05,0.9971913256889532,-0.9297,0.1471260054943
exp388,10,0,5,0,0,0,5,0,20,15,15,-1.1,60,211.9934309964364,0.0063681468222609,0.9961636270897608,-0.8547,1.6458182484484
exp389,0,30,0,5,0,0,5,0,25,5,0,-1.5,120,144.73175379009123,1.552732334797924e-05,0.9987313778421636,-0.9607,0.1726961368383
exp390,0,0,0,0,10,0,10,5,20,15,10,-1.3,120,165.42949086972985,0.0016399440972186,0.995348342439982,-0.7777,0.1603685532633
