Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 2.0 mA/cm2_Ar,Overpotential V at 10.0 mA/cm2_Ar,Overpotential V at 20.0 mA/cm2_Ar,Overpotential V at 30.0 mA/cm2_Ar,Overpotential V at 40.0 mA/cm2_Ar,Overpotential @ 50 mA_Ar,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Cdl mF cm-2_Ar
exp511,8,0,0,0,0,0,0,0,15,0,47,-1.2,90,-0.7987,-0.8667,-0.9087,-0.9387,-0.9627,-0.9837,191.0595863,0.00046573,0.084965239
exp512,0,0,0,0,0,8,8,0,0,15,39,-1.1,90,-0.3067,-0.3567,-0.3837,-0.4037,-0.4207,-0.4357,96.98389402,0.001921855,0.742988063
exp513,0,0,8,0,8,8,8,7,7,7,17,-1.5,180,,,,,,,,,
exp514,0,8,0,0,8,8,8,0,0,7,31,-1.4,150,-0.0257,-0.1987,-0.2307,-0.2477,-0.2607,-0.2717,285.6099771,3.15408165,38.50938111
exp515,0,0,0,0,8,8,0,0,15,15,24,-1.4,60,-0.4697,-0.5627,-0.6157,-0.6467,-0.6687,-0.6867,128.1653324,0.000496513,0.215110719
exp516,8,0,0,8,8,8,0,15,15,0,8,-1.5,180,-0.1927,-0.3027,-0.3577,-0.3947,-0.4257,-0.4497,172.3418168,0.14050662,9.729085625
exp517,0,0,8,0,0,0,0,15,15,15,17,-1.5,90,-0.7117,-0.7767,-0.8107,-0.8337,-0.8527,-0.8687,145.0515755,9.81E-05,0.129534406
exp518,0,0,8,0,8,0,0,0,0,15,39,-1.2,150,-0.2417,-0.2767,-0.3047,-0.3277,-0.3477,-0.3647,91.31885623,0.006944412,3.484945199
exp519,8,0,8,0,0,0,0,15,0,0,39,-1.2,180,-0.7597,-0.8247,-0.8607,-0.8857,-0.9057,-0.9227,159.9647209,0.000185212,0.123596536
exp520,8,0,8,8,0,8,0,15,15,0,8,-1.1,90,-0.5317,-0.7087,-0.7707,-0.8037,-0.8267,-0.8437,206.5712196,0.005748443,0.154152089
exp521,0,8,0,0,0,0,0,0,0,15,47,-1.5,180,-0.7577,-0.8367,-0.8797,-0.9077,-0.9307,-0.9497,167.5433679,0.000171452,0.114517161
exp522,0,0,0,8,0,8,8,15,0,0,31,-1.1,180,-0.2357,-0.3237,-0.3787,-0.4157,-0.4437,-0.4667,164.3933161,0.073829942,4.650670565
exp523,8,0,0,0,0,0,8,15,15,15,9,-1.1,60,-0.6277,-0.6987,-0.7307,-0.7517,-0.7667,-0.7797,119.9909847,2.21E-05,0.496428046
exp524,8,0,0,0,8,0,8,0,15,15,16,-1.5,150,-0.5417,-0.6047,-0.6317,-0.6487,-0.6627,-0.6727,98.16176642,2.82E-05,0.206209133
exp525,0,0,0,8,8,8,0,15,0,0,31,-1.2,90,-0.2997,-0.3697,-0.4037,-0.4267,-0.4467,-0.4647,112.188315,0.003655528,8.071296541
exp526,8,0,0,8,8,8,8,0,15,0,15,-1.1,60,-0.4717,-0.5567,-0.6197,-0.6627,-0.6937,-0.7157,144.0679272,0.00093755,0.338787087
exp527,0,0,8,0,0,0,8,0,15,0,39,-1.1,150,-0.7017,-0.7757,-0.8097,-0.8307,-0.8467,-0.8607,138.993977,5.29E-05,0.120874633
exp528,0,0,0,8,0,8,0,0,15,0,39,-1.5,150,-0.5667,-0.6957,-0.7507,-0.7837,-0.8067,-0.8247,165.03828,0.000862307,0.185731836
exp529,8,0,0,8,8,0,0,7,7,0,32,-1.4,180,-0.5427,-0.6417,-0.6707,-0.6887,-0.7027,-0.7137,113.219446,5.03E-05,0.482036213
exp530,8,0,0,8,0,0,0,15,0,0,39,-1.1,150,-0.6267,-0.7227,-0.7607,-0.7877,-0.8087,-0.8277,157.7918758,0.000477837,0.218958281
exp531,0,0,0,8,8,0,8,15,0,0,31,-1.5,60,-0.2807,-0.3597,-0.4007,-0.4287,-0.4507,-0.4687,122.836517,0.009107726,6.71674723
exp532,8,0,8,0,8,8,8,0,15,15,0,-1.2,90,-0.4277,-0.5537,-0.6137,-0.6467,-0.6677,-0.6837,159.8251408,0.003008163,1.084438198
exp533,8,0,8,0,0,8,8,15,0,15,8,-1.5,150,-0.2317,-0.3327,-0.3897,-0.4257,-0.4527,-0.4747,184.9853113,0.167980092,3.391601743
exp534,0,0,0,0,0,8,0,15,15,15,17,-1.2,150,-0.4947,-0.6267,-0.6637,-0.6847,-0.7017,-0.7177,123.093004,0.000108635,0.171962097
exp535,0,0,0,0,0,0,8,15,0,0,47,-1.4,150,-0.5237,-0.6047,-0.6537,-0.6877,-0.7147,-0.7407,150.7377428,0.000843141,4.721479194
exp536,8,0,0,8,8,0,8,15,15,0,8,-1.2,150,-0.5287,-0.6487,-0.6857,-0.7077,-0.7237,-0.7347,107.3629736,1.44E-05,0.422317546
exp537,0,0,0,0,8,0,8,7,7,7,33,-1.2,60,-0.4337,-0.5347,-0.5817,-0.6087,-0.6297,-0.6467,128.3828292,0.000437602,2.157104497
exp538,0,0,0,0,8,8,8,15,15,0,16,-1.5,90,-0.2367,-0.3277,-0.3777,-0.4107,-0.4377,-0.4587,158.219499,0.081494647,6.906798976
exp539,0,0,0,8,8,0,0,0,15,0,39,-1.1,90,-0.4977,-0.6947,-0.7267,-0.7417,-0.7527,-0.7617,113.7317232,1.97E-05,0.668081383
exp540,0,0,8,0,8,0,8,15,15,15,1,-1.4,180,-0.5507,-0.6097,-0.6347,-0.6507,-0.6637,-0.6747,101.9698177,1.95E-05,0.20065075
exp541,8,0,8,0,8,8,0,15,15,0,8,-1.4,150,-0.6357,-0.6867,-0.7057,-0.7177,-0.7267,-0.7347,82.85750471,2.91E-07,0.156501739
exp542,8,0,8,0,8,0,0,0,15,0,31,-1.5,60,-0.6307,-0.6677,-0.6837,-0.6947,-0.7037,-0.7117,81.38765954,3.45E-07,0.094189228
exp543,0,0,8,0,0,8,0,7,7,7,33,-1.4,90,-0.4987,-0.6287,-0.6617,-0.6787,-0.6917,-0.7027,111.783762,4.46E-05,0.22649385
exp544,0,0,8,0,8,8,0,15,0,15,16,-1.1,60,-0.4617,-0.5407,-0.5737,-0.5947,-0.6107,-0.6277,98.42405687,3.06E-05,0.324136609
exp545,8,0,0,8,0,0,8,7,7,0,32,-1.5,90,-0.5817,-0.7077,-0.7477,-0.7687,-0.7847,-0.7967,146.4835987,0.000271047,0.565787683
exp546,0,0,0,0,8,0,0,15,15,0,32,-1.1,180,-0.6197,-0.6847,-0.7057,-0.7187,-0.7277,-0.7347,84.76781451,4.13E-07,0.151307202
exp547,0,0,0,8,0,0,0,15,15,0,32,-1.4,60,-0.7097,-0.7647,-0.7907,-0.8087,-0.8237,-0.8367,121.9957401,1.33E-05,0.102998579
exp548,8,0,8,0,8,0,8,15,0,0,23,-1.1,90,,,,,,,,,
exp549,0,0,8,8,8,0,8,0,15,0,23,-1.4,90,,,,,,,,,
exp550,8,8,0,0,0,8,0,0,0,7,39,-1.2,60,,,,,,,,,
exp551,0,0,8,8,0,8,0,15,0,0,31,-1.4,180,-0.0597,-0.1337,-0.1867,-0.2157,-0.2467,-0.3377,33.2706818,2179815.374,79.09240616
exp552,8,0,8,8,0,8,8,7,7,0,16,-1.2,150,-0.2177,-0.3447,-0.4027,-0.4387,-0.4647,-0.4857,183.8025125,0.123140942,10.8003638
exp553,0,0,8,0,0,8,8,15,15,0,16,-1.2,60,-0.3537,-0.5077,-0.5677,-0.5997,-0.6207,-0.6367,171.7923907,0.011767438,1.396269324
exp554,8,0,8,8,8,0,0,15,15,0,8,-1.2,60,-0.6387,-0.6867,-0.7047,-0.7157,-0.7247,-0.7317,78.31299805,7.94E-08,0.228307764
exp555,0,0,8,8,8,8,0,0,15,0,23,-1.2,180,-0.3107,-0.4297,-0.5077,-0.5647,-0.6107,-0.6517,235.0192659,0.100019677,5.865046086
exp556,0,0,0,8,0,0,8,0,15,0,39,-1.2,180,-0.7017,-0.7717,-0.8017,-0.8197,-0.8337,-0.8457,140.7574464,6.66E-05,0.190540158
exp557,0,0,8,8,0,0,8,15,0,0,31,-1.2,90,-0.4987,-0.5987,-0.6637,-0.7107,-0.7457,-0.7737,183.9474568,0.005683863,0.342044748
exp558,8,0,0,8,0,8,8,15,15,0,8,-1.4,90,-0.3567,-0.4947,-0.5527,-0.5817,-0.6017,-0.6157,172.1767725,0.015792686,3.284039827
exp559,8,8,8,0,8,0,8,0,0,7,23,-1.1,180,-0.3307,-0.3677,-0.3927,-0.4097,-0.4257,-0.4397,87.66913701,0.000583327,4.697650374
exp560,8,0,8,8,0,0,0,0,15,0,31,-1.4,150,-0.7407,-0.7877,-0.8107,-0.8257,-0.8377,-0.8477,109.1685283,1.39E-06,0.126056037
exp561,0,0,8,8,0,0,0,7,7,0,40,-1.1,60,-0.7327,-0.7917,-0.8217,-0.8417,-0.8567,-0.8707,148.3105907,9.59E-05,0.10995117
exp562,0,0,8,8,8,8,8,15,15,0,0,-1.1,150,-0.5217,-0.6537,-0.6927,-0.7167,-0.7347,-0.7467,113.8191089,2.40E-05,0.317282064
exp563,8,0,8,8,8,8,8,15,0,0,7,-1.4,60,-0.2687,-0.3507,-0.3937,-0.4237,-0.4477,-0.4667,136.8071122,0.022152244,5.609744906
exp564,8,0,0,0,8,8,8,15,0,15,8,-1.2,180,-0.1767,-0.2507,-0.2837,-0.3047,-0.3217,-0.3367,95.5426934,0.017605446,17.96416405
exp565,4,0,4,0,4,4,4,7,7,7,29,-1.3,120,-0.2297,-0.3317,-0.3797,-0.4127,-0.4387,-0.4617,150.3767574,0.061169422,9.25621496
exp566,4,4,4,0,4,4,4,0,0,7,39,-1.3,120,-0.2597,-0.3037,-0.3297,-0.3497,-0.3677,-0.3827,91.3547318,0.004327453,5.269376399
exp567,4,0,4,4,4,4,4,7,7,0,32,-1.3,120,-0.3787,-0.4947,-0.5507,-0.5817,-0.6017,-0.6177,162.613829,0.008932158,2.569765158
exp568,0,20,0,0,0,5,25,20,0,0,0,-1.5,180,-0.3237,-0.4247,-0.4757,-0.5127,-0.5417,-0.5667,128.8022835,0.002205426,6.764771637
exp569,0,0,0,0,25,0,0,0,0,45,45,-1,180,-0.3547,-0.4387,-0.4847,-0.5137,-0.5347,-0.5527,132.6665751,0.003724484,3.988722762
exp571,0,0,0,0,15,15,0,0,0,20,40,-1.5,180,-0.3217,-0.3507,-0.3887,-0.4207,-0.4497,-0.4747,121.4516317,0.009603618,4.476901698
exp572,30,0,0,0,0,0,20,0,0,20,20,-1,180,-0.7647,-0.8417,-0.8747,-0.8947,-0.9087,-0.9207,130.3872818,6.93E-06,0.146373428
exp574,0,0,0,0,0,50,0,20,0,0,0,-1.5,180,-0.2517,-0.3207,-0.3587,-0.3867,-0.4087,-0.4297,123.9955613,0.022313439,4.850061124
exp576,0,0,0,0,0,25,15,30,0,0,0,-1,120,-0.5587,-0.6747,-0.7187,-0.7477,-0.7717,-0.7927,168.2540597,0.001515014,0.18383388
exp577,0,0,0,20,0,20,10,0,0,20,20,-1.5,180,-0.3397,-0.4097,-0.4477,-0.4737,-0.4947,-0.5117,121.8115038,0.00390452,4.661590111
exp578,0,0,0,0,30,20,0,0,20,0,0,-1,180,-0.6407,-0.7097,-0.7387,-0.7567,-0.7707,-0.7827,105.7167131,6.28E-06,0.187019842
exp579,0,0,0,0,0,20,30,0,0,20,20,-1.5,60,-0.3787,-0.4337,-0.4657,-0.4867,-0.5027,-0.5187,95.41023901,0.00022519,2.708678324
exp580,0,0,30,0,0,20,0,15,0,5,5,-1.5,180,-0.3127,-0.3937,-0.4487,-0.4867,-0.5247,-0.5717,185.866111,0.056787848,2.074511038
exp581,0,0,0,5,0,25,10,30,0,0,0,-1.5,180,-0.1777,-0.2517,-0.2847,-0.3047,-0.3217,-0.3367,86.66565607,0.008168173,19.34394984
exp582,0,30,0,0,0,20,0,0,0,20,20,-1,180,-0.4497,-0.5387,-0.5827,-0.6087,-0.6287,-0.6457,124.473355,0.000464335,0.215922444
exp583,0,0,0,0,0,5,45,0,0,20,20,-1,60,-0.4577,-0.5147,-0.5487,-0.5757,-0.5997,-0.6207,115.5841988,0.000203339,1.394163823
exp584,0,0,0,0,0,25,25,0,0,20,20,-1,180,-0.3267,-0.3777,-0.3997,-0.4147,-0.4267,-0.4377,80.63101889,0.000220625,5.776916218
exp585,0,0,0,0,0,25,15,0,0,30,30,-1,180,,,,,,,,,
exp586,0,0,0,0,15,0,35,15,5,0,0,-1,180,,,,,,,,,
exp587,0,0,0,0,0,30,20,20,0,0,0,-1,180,,,,,,,,,
exp589,0,5,25,0,20,0,0,0,0,20,20,-1,180,,,,,,,,,
exp590,0,0,0,0,0,0,45,0,0,25,25,-1.5,180,-0.7677,-0.8547,-0.8877,-0.9077,-0.9237,-0.9377,159.4342048,0.000100963,0.248856227
exp591,0,0,0,5,30,15,0,0,20,0,0,-1.5,180,,,,,,,,,
exp592,0,0,0,0,0,20,0,0,0,50,50,-1,180,,,,,,,,,
exp593,0,0,0,0,5,20,20,5,0,25,20,-1.5,180,,,,,,,,,
exp594,0,5,0,0,0,45,0,0,0,20,20,-1.5,180,,,,,,,,,
exp596,0,5,0,0,0,0,15,0,0,20,50,-1.5,60,,,,,,,,,
exp609,0,0,0,29,23,7,0,0,0,10,11,-1.5,56,,,,,,,,,
exp610,0,0,3,0,25,13,0,0,0,10,29,-1.5,180,-0.3277,-0.3817,-0.4507,-0.4987,-0.5367,-0.5727,224.0800706,0.161213975,2.171754984
exp611,0,0,0,37,23,0,0,0,0,10,10,-1.2,180,-0.0247,-0.1007,-0.2187,-0.4017,-0.4087,-0.4147,236.4922692,63.74121873,85.66874024
exp612,0,0,0,28,18,0,0,0,0,24,24,-1.5,180,-0.2617,-0.4247,-0.4387,-0.4547,-0.4717,-0.4887,102.7581044,0.000964127,17.7631621
exp613,0,0,20,0,0,20,20,0,0,10,10,-1.2,30,-0.2937,-0.3327,-0.3507,-0.3637,-0.3747,-0.3847,79.78207539,0.000787649,4.140447633
exp614,0,0,0,40,0,20,0,0,0,10,10,-1.5,150,-0.4417,-0.5017,-0.5457,-0.5807,-0.6107,-0.6377,173.0305014,0.007649834,0.98346645
exp615,0,1,0,0,22,0,20,0,0,27,27,-1,111,-0.3117,-0.3557,-0.3757,-0.3907,-0.4027,-0.4127,79.51276544,0.000346832,10.56019031
exp616,0,0,0,31,18,11,0,0,0,10,10,-1.5,180,-0.0527,-0.0727,-0.1027,-0.1367,-0.1737,-0.2307,55.54175253,7.92E-05,15.30415568
exp617,0,20,0,40,0,0,0,0,0,10,10,-1.5,180,-0.5077,-0.5947,-0.6427,-0.6827,-0.7117,-0.7367,151.6127426,0.001110897,0.764279672
exp618,0,0,0,0,17,10,0,0,0,37,43,-1.5,180,-0.2857,-0.3157,-0.3407,-0.3637,-0.3837,-0.4047,104.8288554,0.007995239,5.884874017
exp619,0,0,0,0,0,20,0,0,0,50,50,-1.5,30,-0.3867,-0.4327,-0.4597,-0.4797,-0.4997,-0.5187,95.89492945,0.000200781,0.457765708
exp620,0,0,30,0,3,11,16,0,0,10,10,-1,180,-0.2757,-0.3197,-0.3397,-0.3537,-0.3657,-0.3757,82.57176213,0.001260537,6.577556638
exp621,0,0,0,2,25,0,4,0,0,10,39,-1,180,-0.2867,-0.3277,-0.3427,-0.3537,-0.3647,-0.3747,302.8544656,1.354998445,40.3553673
exp622,0,0,0,37,19,0,0,4,0,10,10,-1.4,180,-0.0427,-0.2167,-0.4217,-0.4517,-0.4797,-0.5067,100.8680154,0.0780847,22.22126238
exp623,0,0,30,17,13,0,0,0,0,10,10,-1,90,-0.3087,-0.3507,-0.3717,-0.3867,-0.3987,-0.4097,83.32242506,0.000632358,4.077363898
exp624,0,0,0,40,20,0,0,0,0,10,10,-1.4,84,-0.0387,-0.0947,-0.1607,-0.2877,-0.4407,-0.4457,311.8431838,65.29952785,70.74052033
exp625,0,0,0,0,25,10,0,20,5,10,10,-1.5,180,0.0013,-0.2527,-0.2907,-0.3137,-0.3317,-0.3467,292.4401708,1.65344365,53.45640144
exp626,0,0,0,37,0,3,0,20,0,10,10,-1.5,180,-0.0897,-0.0257,-0.2787,-0.4137,-0.3307,-0.4967,71.07571853,72085.93655,14.24998589
exp627,0,0,0,0,25,6,0,0,0,10,39,-1.5,165,-0.3247,-0.3487,-0.3767,-0.4037,-0.4237,-0.4407,114.6692871,0.008646527,6.977620265
exp628,0,0,0,33,7,20,0,0,0,10,10,-1.3,180,-0.0287,-0.0047,-0.2087,-0.3917,-0.4087,-0.4177,273.8779788,65.26610009,69.5602469
exp629,0,0,0,0,25,0,0,0,0,45,45,-1.5,158,-0.3757,-0.3957,-0.4117,-0.4327,-0.4507,-0.4667,90.2003561,0.000354733,9.274690122
exp630,0,0,0,0,19,0,20,0,0,10,31,-1.4,88,-0.2267,-0.2997,-0.3187,-0.3297,-0.3387,-0.3467,314.8978194,3.040063906,91.115433
exp631,0,0,0,0,11,3,17,0,0,10,39,-1,158,-0.2727,-0.3187,-0.3417,-0.3567,-0.3687,-0.3797,83.33087514,0.001373171,7.535203156
exp632,20,0,0,15,0,18,7,0,0,10,10,-1.5,30,-0.4827,-0.5437,-0.5807,-0.6107,-0.6367,-0.6597,138.9737892,0.000811033,0.380428682
exp633,0,0,0,0,0,20,15,0,0,35,35,-1.4,180,-0.2217,-0.2897,-0.3127,-0.3267,-0.3387,-0.3497,78.36668699,0.002553268,15.33849207
exp634,0,0,29,0,11,0,20,0,0,10,10,-1,75,-0.2917,-0.3337,-0.3547,-0.3697,-0.3817,-0.3927,83.69742891,0.000883562,8.255689081
exp635,0,13,0,0,15,20,12,0,0,10,10,-1.5,180,-0.2967,-0.3257,-0.3467,-0.3677,-0.3877,-0.4067,92.08101792,0.002118057,5.709874365
exp636,0,12,0,28,0,20,0,0,0,10,10,-1.5,91,-0.4067,-0.4777,-0.5197,-0.5497,-0.5767,-0.6007,136.5164712,0.002248308,2.183121802
exp637,0,0,1,40,19,0,0,0,0,10,10,-1.5,76,-0.4417,-0.4977,-0.5327,-0.5597,-0.5827,-0.6057,124.8845366,0.000880472,1.544707037
exp638,0,0,0,0,25,20,0,0,0,25,25,-1.5,66,-0.3167,-0.3587,-0.4087,-0.4447,-0.4787,-0.5117,152.7999485,0.033656149,1.556269926
exp639,0,0,0,0,11,20,20,9,0,10,10,-1.5,180,-0.1027,-0.2427,-0.2767,-0.2977,-0.3147,-0.3287,79.71882769,0.004949919,39.82428134
exp640,0,0,5,0,21,0,0,0,0,10,44,-1,152,-0.3127,-0.3817,-0.4187,-0.4447,-0.4657,-0.4837,117.24879,0.004836548,6.49740992
exp641,0,0,0,0,4,20,16,0,0,10,30,-1.5,159,-0.0187,-0.2277,-0.2597,-0.2757,-0.2867,-0.2957,180.1176395,1.753081834,63.70080567
exp642,0,0,0,8,20,0,0,0,0,10,42,-1,174,-0.2137,-0.3497,-0.3707,-0.3827,-0.3927,-0.4007,441.2741371,2.60497643,41.73230956
exp643,0,0,0,0,23,12,0,20,0,10,15,-1.5,180,0.0043,-0.2657,-0.2977,-0.3177,-0.3337,-0.3477,77.19827815,0.002076613,46.8049995
exp644,0,0,16,0,11,8,16,0,0,19,19,-1.5,129,-0.0047,-0.2787,-0.2967,-0.3067,-0.3147,-0.3207,329.097205,3.425892135,69.476188
exp645,0,0,0,25,20,13,0,2,0,10,10,-1.5,180,-0.0247,-0.1417,-0.3637,-0.3907,-0.4107,-0.4257,119.8370786,304.7116985,63.11635855
exp646,0,0,30,0,12,18,0,0,0,10,10,-1.1,168,-0.0397,-0.2647,-0.2807,-0.2897,-0.3007,-0.3127,337.434048,3.136988523,43.42285747
exp647,0,0,0,0,25,0,0,0,0,45,45,-1,153,-0.2737,-0.3207,-0.3367,-0.3457,-0.3537,-0.3617,377.2099783,2.792754731,53.43338085
exp648,0,0,30,0,6,5,19,0,0,10,10,-1.5,84,-0.4027,-0.4497,-0.4757,-0.4937,-0.5087,-0.5217,96.74340989,0.000236332,1.601963193
exp649,0,0,6,0,11,20,0,0,0,10,33,-1.4,180,-0.0617,-0.2607,-0.2777,-0.2857,-0.2957,-0.3097,320.2429268,3.023395479,32.61274324
exp650,0,0,0,40,15,0,5,0,0,10,10,-1.3,93,-0.0027,-0.1437,-0.2477,-0.4497,-0.4547,-0.4587,191.9211416,102.802145,86.92308594
exp651,0,0,16,0,0,20,17,0,0,10,17,-1.4,135,-0.1527,-0.2527,-0.2787,-0.2937,-0.3047,-0.3147,69.70159301,0.00275441,27.68963291
exp652,0,0,0,0,25,0,0,0,0,16,45,-1.4,146,-0.0007,-0.0687,0.0123,-0.3527,-0.3607,-0.3677,78.68476297,0.264419894,160.0107701
exp653,0,0,0,0,14,18,0,0,0,10,38,-1.3,180,0.0043,-0.2797,-0.3027,-0.3197,-0.3367,-0.3597,323.0944118,2.333477891,24.77013539
exp654,0,0,30,0,5,0,0,0,0,35,35,-1,135,-0.2487,-0.2867,-0.3027,-0.3147,-0.3257,-0.3347,72.80006524,0.001654433,18.9144141
exp655,0,0,27,0,15,0,0,0,0,28,28,-1.5,180,-0.4677,-0.5377,-0.5747,-0.5997,-0.6197,-0.6377,121.1821023,0.000317701,0.153024135
exp656,20,25,0,0,0,0,0,0,0,25,25,-1,38,-0.7027,-0.7947,-0.8417,-0.8727,-0.8967,-0.9177,169.928813,0.000326847,0.100548052
exp657,0,0,0,40,0,0,0,0,0,10,30,-1.2,180,-0.4867,-0.6277,-0.7217,-0.7877,-0.8387,-0.8737,226.4969663,0.015811319,0.415350204
exp658,0,0,0,0,25,0,17,0,0,10,28,-1.4,30,-0.3727,-0.4077,-0.4317,-0.4517,-0.4727,-0.4927,95.10313456,0.000413349,4.682250864
exp659,0,0,0,0,2,19,17,0,0,10,32,-1.5,180,-0.1307,-0.2367,-0.2627,-0.2777,-0.2897,-0.2997,313.6197879,2.922685818,35.2904567
exp660,0,15,0,0,0,20,20,5,0,10,10,-1.5,111,-0.2557,-0.3247,-0.3567,-0.3787,-0.3977,-0.4137,105.1642354,0.00692015,8.447806061
exp661,0,0,0,3,12,20,0,0,0,35,35,-1.2,180,-0.0157,-0.2767,-0.2937,-0.3017,-0.3087,-0.3167,198.7727981,1.976857305,76.16743245
exp662,0,23,0,0,0,15,20,0,0,10,12,-1.5,49,-0.3867,-0.4447,-0.4817,-0.5107,-0.5367,-0.5597,142.5468451,0.006029249,1.496676508
exp663,0,9,0,0,0,20,12,0,0,29,29,-1.5,180,-0.0627,-0.2297,-0.2597,-0.2747,-0.2847,-0.2937,213.8659249,2.257016594,51.74884626
exp664,0,0,0,40,19,1,0,0,0,10,10,-1.5,113,-0.0837,-0.1697,-0.4247,-0.4357,-0.4407,-0.4447,62.54045938,6644.247555,33.40516603
exp665,0,0,0,0,25,0,0,0,0,45,45,-1.5,101,-0.0667,-0.3667,-0.3767,-0.3857,-0.3947,-0.4047,312.6131659,1.329092708,38.58905354
exp666,0,0,0,9,24,5,0,0,0,32,32,-1.5,81,-0.3327,-0.3527,-0.3607,-0.3717,-0.3927,-0.4157,97.28842146,0.003353366,21.61607972
exp667,0,0,0,40,20,0,0,0,0,10,10,-1.5,180,-0.4397,-0.5127,-0.5567,-0.5927,-0.6227,-0.6477,147.0989855,0.00295587,1.242330197
exp668,0,0,0,40,0,0,0,0,0,10,30,-1.5,180,-0.0727,-0.0997,-0.0287,-0.1837,-0.2157,-0.0007,26.08577557,44286538532,82.65153947
exp669,0,0,0,45,15,5,0,0,0,5,5,-1.5,180,-0.0867,-0.1017,-0.0527,-0.1407,-0.1617,-0.1797,22.00704588,8.58757E+12,88.86643086
exp670,0,5,0,45,15,0,0,0,0,5,5,-1,30,-0.3457,-0.3867,-0.4087,-0.4247,-0.4377,-0.4487,84.89277642,0.000362454,0.899435312
exp671,0,0,0,35,25,5,0,0,0,5,5,-1.5,73,-0.1187,-0.4277,-0.4407,-0.4717,-0.5097,-0.5587,522.1739469,2.688684255,13.0580204
exp672,0,5,5,36,19,0,0,0,0,5,5,-1.5,150,-0.0897,-0.1057,-0.0517,-0.0387,-0.1667,-0.1857,29.97059613,2835001774,-8.897937266
exp673,0,5,0,45,15,0,0,0,0,5,5,-1.5,142,-0.0877,-0.1047,-0.0517,-0.1467,-0.0287,-0.1877,32.13665261,1104010380,87.38032841
exp674,5,0,0,45,15,0,0,0,0,5,5,-1.5,180,-0.0447,-0.0677,-0.0957,-0.1287,-0.1597,-0.1897,30.79181061,5769326003,146.9338688
exp675,0,0,0,45,15,0,5,0,0,5,5,-1.5,135,-0.0597,-0.1627,-0.4337,-0.4437,-0.4507,-0.4577,149.1826164,202.9499524,42.92253073
exp676,0,5,0,35,20,0,5,0,0,5,5,-1.5,30,-0.4497,-0.4627,-0.4807,-0.5107,-0.5387,-0.5627,114.4056547,0.000860238,6.326123964
exp677,0,0,5,45,15,0,0,0,0,5,5,-1.5,176,-0.0867,-0.0987,-0.1157,-0.1327,-0.0377,-0.1667,21.80800392,6.27415E+12,117.025398
exp678,0,5,0,45,15,0,0,0,0,5,5,-1.5,30,-0.1357,-0.4437,-0.4507,-0.4597,-0.4767,-0.4947,397.9488722,1.474167656,22.5729418
exp679,0,0,0,45,15,0,0,0,5,5,5,-1.5,180,-0.0697,-0.1387,-0.2527,-0.4037,-0.4317,-0.4487,264.1783632,69.44950241,55.33222996
exp680,0,0,0,35,25,5,0,0,0,5,5,-1,180,-0.2837,-0.3107,-0.3267,-0.3387,-0.3487,-0.3577,72.44706858,0.000864579,14.40579646
exp681,0,0,5,35,25,0,0,0,0,5,5,-1.5,180,-0.0727,-0.0977,-0.1187,-0.0297,-0.1607,-0.0107,143.4770287,433.6918982,42.24326133
exp682,0,0,5,45,15,0,0,0,0,5,5,-1.5,83,-0.0287,-0.1557,-0.2367,-0.4417,-0.4477,-0.4527,224.8859024,85.79346992,32.33372455
exp683,5,0,0,40,15,5,0,0,0,5,5,-1,118,-0.6477,-0.7407,-0.7837,-0.8117,-0.8327,-0.8507,152.1870598,0.000209493,0.114150808
exp684,0,2,5,43,15,0,0,0,0,5,5,-1.5,135,-0.0697,-0.0567,-0.1167,-0.1407,-0.1637,-0.1867,38.88771153,69170130.96,110.2708908
exp685,5,0,5,35,20,0,0,0,0,5,5,-1.5,118,-0.0417,-0.0597,-0.0937,-0.1327,-0.1687,-0.2017,43.63455605,15545356.47,149.1978228
exp686,0,0,5,38,15,0,0,0,0,5,12,-1.5,131,-0.0627,-0.0497,-0.1107,-0.1357,-0.0167,-0.1807,41.9263599,28640495.61,98.71177257
exp687,5,0,5,40,15,0,0,0,0,5,5,-1.3,158,-0.2037,-0.4247,-0.4527,-0.4747,-0.4927,-0.5097,95.67497824,0.000283988,13.08019742
exp688,0,0,5,45,15,0,0,0,0,5,5,-1.5,110,-0.0587,-0.0777,-0.1047,-0.1327,-0.1587,-0.1817,45.3241627,12169432.63,119.2976169
exp689,0,0,5,35,25,0,0,0,0,5,5,-1.5,121,-0.2867,-0.4457,-0.4977,-0.5337,-0.5647,-0.5897,175.6934857,0.028265219,7.504049214
exp690,0,1,0,35,25,0,0,4,0,5,5,-1.5,157,-0.0367,-0.2067,-0.4147,-0.4397,-0.4607,-0.4827,119.1785727,0.231586162,26.29532981
exp691,5,0,0,35,20,5,0,0,0,5,5,-1.5,117,-0.0367,-0.0627,-0.0047,-0.1547,-0.2027,-0.2647,72.52656774,34236.12351,131.6477256
exp692,0,0,5,35,24,0,0,0,0,6,6,-1.5,114,-0.0407,-0.1617,-0.4107,-0.4327,-0.4407,-0.4487,104.0808218,603.3607143,34.46121162
exp693,0,0,5,45,15,0,0,0,0,5,5,-1.5,131,-0.0727,-0.0887,-0.0407,-0.1337,-0.1557,-0.0137,32.74851758,1599513438,126.0239384
