Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp841,5,20,0,25,17,0,0,0,0,3,3,-1.5,30,-0.1647,-0.3597,-0.3847,-0.3957,-0.4057
exp842,0,20,5,15,22,0,5,0,0,3,3,-1.5,65,-0.4117,-0.4207,-0.4447,-0.4707,-0.4887
exp843,5,30,0,15,17,0,0,0,0,3,3,-1.5,180,-0.0607,-0.0857,-0.1147,-0.1447,0.0003
exp844,2,20,0,15,27,0,0,0,0,6,6,-1.5,113,-0.0947,-0.1057,-0.1167,-0.0487,-0.1417
exp845,2,20,5,16,27,0,0,0,0,0,0,-1.5,180,-0.3567,-0.3817,-0.3997,-0.4147,-0.4277
exp846,0,30,5,18,17,0,0,0,0,0,0,-1.5,180,-0.3797,-0.3977,-0.4117,-0.4247,-0.4367
exp847,5,20,0,25,17,0,0,0,0,0,3,-1.5,140,-0.0267,-0.1157,-0.1487,-0.1797,-0.2127
exp848,0,30,0,15,18,0,0,0,0,7,7,-1.3,180,-0.3657,-0.3857,-0.3907,-0.3947,-0.3987
exp849,5,28,0,15,17,5,0,0,0,0,0,-1,180,-0.6107,-0.6547,-0.6847,-0.7077,-0.7267
exp850,3,20,0,15,24,0,0,0,0,8,8,-1.5,180,-0.0177,-0.1127,-0.1637,-0.2657,-0.3117
exp851,0,28,0,15,19,0,0,0,0,8,8,-1.5,180,-0.0047,-0.1847,-0.3827,-0.3927,-0.3987
exp852,5,21,0,15,19,0,5,5,0,0,0,-1.5,180,-0.1807,0.0133,-0.3807,-0.3997,-0.4147
exp853,0,20,5,15,17,5,0,0,0,8,8,-1.5,180,-0.0737,-0.2957,-0.3417,-0.3697,-0.3877
exp854,5,23,0,25,17,0,0,0,0,0,0,-1,97,-0.6887,-0.7127,-0.7297,-0.7427,-0.7547
exp855,0,30,0,15,25,0,0,0,0,0,0,-1.5,180,-0.0737,-0.0007,0.0073,-0.2957,-0.3647
exp856,0,22,0,15,21,0,0,0,0,2,12,-1.5,180,-0.1277,-0.3637,-0.3777,-0.3837,-0.3877
exp857,1,20,0,25,19,0,0,5,0,0,0,-1.5,139,-0.1127,-0.1727,-0.2137,-0.3707,-0.3857
