Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp21,5,0,5,5,0,15,0,10,30,0,0,-1.3,60,-0.7057,-0.7397,-0.7587,-0.7737,-0.7847
exp22,0,5,15,5,5,0,10,0,15,5,10,-1.3,150,-0.1317,-0.2037,-0.2537,-0.4017,-0.4207
exp23,5,15,0,0,5,5,0,25,10,0,5,-1.1,150,-0.5337,-0.5957,-0.6267,-0.6487,-0.6657
exp24,5,0,5,10,25,0,0,15,0,5,5,-1.5,90,-0.2587,-0.2937,-0.3167,-0.3357,-0.3507
exp25,35,0,0,0,0,0,0,30,0,0,5,-1.4,150,-0.8107,-0.8317,-0.8467,-0.8587,-0.8697
exp26,20,0,5,20,5,0,0,5,5,10,0,-1.3,60,-0.6417,-0.6747,-0.6937,-0.7077,-0.7187
exp27,0,0,20,5,0,0,5,5,10,20,5,-1.4,150,-0.3937,-0.4427,-0.4757,-0.5057,-0.5327
exp28,0,0,0,5,5,15,0,5,40,0,0,-1.3,150,-0.6307,-0.6817,-0.7097,-0.7317,-0.7487
exp29,20,5,0,5,0,10,10,10,5,5,0,-1.1,150,-0.6147,-0.6427,-0.6587,-0.6717,-0.6817
exp30,0,15,0,10,0,5,0,0,20,15,5,-1.3,150,-0.6607,-0.6897,-0.7077,-0.7207,-0.7317
exp31,0,0,0,0,0,10,15,5,10,30,0,-1.2,60,-0.6917,-0.7227,-0.7427,-0.7577,-0.7707
exp32,0,5,0,5,0,20,10,5,20,0,5,-1.2,60,-0.5057,-0.5717,-0.6097,-0.6377,-0.6617
exp33,25,0,0,0,0,0,5,20,0,10,10,-1.5,150,-0.7927,-0.8207,-0.8397,-0.8547,-0.8677
exp34,0,0,5,15,5,0,15,15,10,5,0,-1.3,150,-0.4127,-0.4857,-0.5327,-0.5627,-0.5847
exp35,10,5,5,15,0,0,10,5,0,15,5,-1.3,90,-0.5347,-0.6087,-0.6347,-0.6497,-0.6617
exp36,10,10,0,0,5,0,0,35,10,0,0,-1.1,60,-0.8257,-0.8477,-0.8627,-0.8747,-0.8847
exp37,10,5,15,5,0,0,10,10,5,10,0,-1.2,150,-0.7007,-0.7407,-0.7657,-0.7837,-0.7987
exp38,15,10,0,5,0,5,0,0,5,15,15,-1.2,60,-0.4997,-0.5347,-0.5577,-0.5757,-0.5907
exp39,0,15,0,10,10,5,0,20,5,0,5,-1.5,90,-0.3097,-0.3477,-0.3757,-0.3977,-0.4177
exp40,0,15,5,5,0,5,5,5,5,10,15,-1.5,120,-0.4507,-0.5097,-0.5487,-0.5757,-0.5947
exp41,5,0,10,15,0,0,0,20,0,5,15,-1.4,60,-0.3577,-0.4017,-0.4317,-0.4557,-0.4767
exp42,10,0,10,0,0,0,0,0,0,50,0,-1.4,60,-0.6967,-0.7387,-0.7647,-0.7837,-0.7997
exp43,0,0,0,20,20,0,0,0,20,10,0,-1.3,60,-0.3237,-0.3737,-0.4127,-0.4427,-0.4737
exp44,0,0,5,15,5,5,0,5,35,0,0,-1.1,150,-0.3467,-0.3917,-0.4197,-0.4407,-0.4587
exp45,0,5,5,20,5,5,10,0,15,5,0,-1.2,120,-0.2777,-0.3187,-0.3427,-0.3617,-0.3767
exp46,5,0,5,5,10,10,5,5,15,0,10,-1.5,120,-0.7217,-0.7607,-0.7827,-0.7987,-0.8117
exp47,15,0,10,0,20,0,5,5,5,10,0,-1.4,60,-0.5807,-0.6457,-0.6697,-0.6857,-0.6977
exp48,5,10,0,0,5,0,10,35,0,5,0,-1.4,90,-0.7627,-0.7887,-0.8037,-0.8157,-0.8267
exp49,0,0,0,0,0,15,35,5,0,15,0,-1.5,60,-0.6317,-0.6647,-0.6857,-0.7027,-0.7167
exp50,10,0,0,0,0,20,10,10,0,15,5,-1.5,60,-0.5957,-0.6257,-0.6477,-0.6657,-0.6817
exp51,0,10,15,0,0,0,15,0,20,5,5,-1.4,120,-0.8297,-0.8497,-0.8637,-0.8737,-0.8827
exp52,0,10,0,15,0,5,5,5,5,15,10,-1.3,150,-0.3427,-0.3797,-0.4057,-0.4267,-0.4437
exp53,0,0,0,10,5,10,15,5,15,10,0,-1.4,120,-0.5837,-0.6287,-0.6517,-0.6677,-0.6797
exp54,10,0,0,5,0,5,10,5,10,10,15,-1.1,90,-0.6347,-0.6647,-0.6847,-0.6997,-0.7127
exp55,25,5,0,0,10,0,5,0,0,20,5,-1.4,120,-0.6107,-0.6447,-0.6667,-0.6847,-0.6987
exp56,0,0,10,10,0,0,0,20,5,5,20,-1.1,90,-0.5497,-0.6217,-0.6487,-0.6667,-0.6797
exp57,5,10,10,5,5,5,0,0,30,0,0,-1.4,90,-0.8087,-0.8347,-0.8517,-0.8657,-0.8787
exp58,0,0,5,10,0,25,5,0,20,0,5,-1.5,120,-0.6847,-0.7187,-0.7397,-0.7547,-0.7677
exp59,0,5,20,5,0,0,10,0,0,30,0,-1.3,150,-0.0687,-0.1307,-0.1887,-0.2367,-0.2777
exp60,20,5,0,15,5,0,0,20,0,0,5,-1.2,120,-0.4837,-0.5547,-0.5887,-0.6087,-0.6227
exp61,10,0,25,0,0,0,5,5,0,20,5,-1.1,120,-0.7227,-0.7517,-0.7697,-0.7837,-0.7957
exp62,0,0,10,0,0,10,0,0,5,45,0,-1.2,60,-0.7057,-0.7387,-0.7577,-0.7727,-0.7847
exp63,10,0,10,0,0,20,10,0,10,10,0,-1.1,150,-0.6777,-0.7157,-0.7397,-0.7597,-0.7757
exp64,0,5,5,0,5,0,15,15,10,10,5,-1.4,120,-0.4717,-0.5487,-0.5907,-0.6197,-0.6417
exp65,30,0,5,0,5,0,10,5,0,15,0,-1.1,150,-0.5827,-0.6517,-0.6767,-0.6937,-0.7057
exp66,5,0,5,0,5,5,0,5,20,0,25,-1.5,120,-0.7307,-0.7777,-0.8057,-0.8267,-0.8447
exp67,0,0,10,20,10,0,10,0,5,15,0,-1.3,120,-0.3457,-0.3747,-0.3897,-0.4037,-0.4187
exp68,0,20,0,5,20,0,0,10,5,10,0,-1.2,60,-0.6977,-0.7297,-0.7487,-0.7637,-0.7757
exp69,10,0,0,15,10,0,0,20,5,10,0,-1.4,90,-0.3157,-0.3557,-0.3847,-0.4077,-0.4267
exp70,5,5,10,0,5,0,10,5,0,15,15,-1.1,60,-0.7157,-0.7517,-0.7737,-0.7917,-0.8057
exp71,5,0,0,5,5,10,0,5,0,20,20,-1.4,90,-0.3887,-0.4467,-0.4897,-0.5227,-0.5477
exp72,0,5,0,0,10,5,15,0,0,20,15,-1.2,60,-0.3647,-0.3957,-0.4137,-0.4287,-0.4407
exp73,25,0,5,0,0,5,0,5,5,10,15,-1.4,60,-0.7537,-0.7917,-0.8157,-0.8337,-0.8497
exp74,15,5,5,0,0,15,5,0,15,5,5,-1.3,90,-0.8557,-0.9157,-0.9537,-0.9817,-1.0047
exp75,0,15,5,0,0,0,5,10,5,5,25,-1.5,150,-0.7747,-0.7977,-0.8117,-0.8227,-0.8327
exp76,20,0,0,0,0,15,5,15,5,10,0,-1.5,150,-0.7147,-0.7487,-0.7717,-0.7897,-0.8057
exp77,0,5,5,15,10,10,0,5,5,10,5,-1.5,60,-0.3337,-0.3747,-0.4047,-0.4287,-0.4487
exp78,0,5,0,0,25,5,0,10,0,10,15,-1.1,90,-0.4417,-0.5147,-0.5567,-0.5837,-0.6037
exp79,10,0,5,0,5,5,5,35,0,5,0,-1.1,150,-0.4357,-0.5217,-0.5767,-0.6137,-0.6387
exp80,0,0,10,0,0,0,25,5,10,10,10,-1.1,150,-0.8217,-0.8437,-0.8587,-0.8707,-0.8817
exp81,15,0,0,20,0,0,10,15,5,5,0,-1.2,120,-0.5857,-0.6377,-0.6597,-0.6737,-0.6847
exp82,0,15,5,10,10,0,0,15,10,5,0,-1.2,120,-0.3567,-0.4027,-0.4327,-0.4547,-0.4737
exp83,15,10,0,0,0,5,5,5,25,0,5,-1.1,150,-0.7487,-0.7977,-0.8287,-0.8517,-0.8727
exp84,0,5,0,0,10,10,0,10,20,0,15,-1.1,150,-0.5377,-0.6087,-0.6437,-0.6667,-0.6837
exp85,0,5,0,10,0,15,5,10,15,5,5,-1.5,60,-0.5367,-0.5727,-0.5947,-0.6107,-0.6237
exp86,10,5,0,5,0,0,25,10,0,15,0,-1.5,60,-0.6667,-0.6907,-0.7057,-0.7177,-0.7277
exp87,0,5,0,25,0,0,15,15,5,5,0,-1.3,90,-0.3317,-0.3657,-0.3897,-0.4087,-0.4257
exp88,10,15,0,0,0,0,5,0,20,15,5,-1.2,90,-0.8237,-0.8617,-0.8897,-0.9127,-0.9337
exp89,5,0,5,0,0,15,5,10,0,10,20,-1.1,60,-0.6737,-0.7037,-0.7227,-0.7377,-0.7507
exp90,0,20,5,0,10,0,0,10,10,5,10,-1.5,90,-0.5897,-0.6517,-0.6837,-0.7057,-0.7227
exp91,0,5,5,15,10,0,5,5,20,5,0,-1.4,120,-0.3787,-0.4407,-0.4867,-0.5227,-0.5517
exp92,10,5,5,0,0,15,15,10,5,5,0,-1.3,120,,,,,
exp93,5,5,5,0,15,5,5,15,0,15,0,-1.2,90,,,,,
exp94,10,5,5,5,5,0,0,35,0,5,0,-1.4,90,,,,,
exp95,0,0,0,10,5,5,5,25,10,0,10,-1.2,90,-0.6757,-0.7007,-0.7167,-0.7297,-0.7417
exp96,0,0,0,10,0,0,10,15,20,15,0,-1.3,60,-0.7157,-0.7347,-0.7477,-0.7587,-0.7687
exp97,5,0,15,0,5,5,0,0,10,10,20,-1.1,150,-0.7987,-0.8447,-0.8727,-0.8937,-0.9127
exp98,0,20,10,5,0,15,0,10,5,5,0,-1.4,120,-0.5227,-0.5827,-0.6147,-0.6377,-0.6657
exp99,5,5,5,5,5,0,5,5,5,25,5,-1.3,150,-0.5437,-0.6027,-0.6327,-0.6547,-0.6727
exp100,5,0,0,0,20,10,0,10,25,0,0,-1.1,90,-0.7157,-0.7817,-0.8237,-0.8577,-0.8847
exp101,15,0,5,5,15,0,0,5,25,0,0,-1.5,150,-0.6697,-0.7517,-0.7927,-0.8197,-0.8387
exp102,0,15,5,15,10,0,0,0,5,15,5,-1.1,90,-0.6657,-0.6917,-0.7067,-0.7197,-0.7297
exp103,5,0,30,10,5,0,0,5,15,0,0,-1.3,120,-0.3237,-0.3807,-0.4147,-0.4407,-0.4637
exp104,5,5,5,0,5,10,15,10,10,5,0,-1.1,150,-0.4427,-0.5397,-0.5907,-0.6237,-0.6497
exp105,0,0,5,30,10,0,0,0,25,0,0,-1.2,90,-0.3537,-0.3957,-0.4247,-0.4497,-0.4707
exp106,0,0,25,0,0,10,0,10,20,5,0,-1.3,150,-0.7027,-0.7377,-0.7597,-0.7827,-0.8097
exp107,0,0,0,0,5,5,35,20,0,0,5,-1.3,150,-0.3177,-0.3757,-0.4137,-0.4427,-0.4667
exp108,5,0,0,5,5,20,0,10,0,25,0,-1.3,150,-0.3557,-0.4217,-0.4687,-0.5037,-0.5287
exp109,10,10,5,0,15,5,0,0,25,0,0,-1.4,60,-0.4387,-0.4977,-0.5297,-0.5527,-0.5687
exp110,5,0,30,0,0,0,5,0,20,0,10,-1.4,60,-0.8097,-0.8317,-0.8477,-0.8607,-0.8717
exp111,5,15,0,0,5,0,10,5,15,10,5,-1.2,150,-0.2727,-0.3057,-0.3267,-0.3437,-0.3577
exp112,0,0,0,0,10,5,20,30,0,0,5,-1.1,120,-0.3647,-0.4277,-0.4657,-0.4947,-0.5177
exp113,5,15,10,15,0,0,0,5,20,0,0,-1.3,60,-0.7387,-0.7567,-0.7697,-0.7807,-0.7897
exp114,5,0,10,0,0,0,10,30,5,5,5,-1.3,60,-0.7617,-0.7827,-0.7977,-0.8097,-0.8207
exp115,0,0,25,5,0,15,5,15,5,0,0,-1.1,90,-0.5227,-0.5717,-0.5977,-0.6177,-0.6367
exp116,0,0,10,5,0,0,20,15,5,0,15,-1.4,90,-0.3217,-0.3697,-0.4057,-0.4337,-0.4587
exp117,5,5,5,5,25,5,0,5,5,10,0,-1.3,90,-0.3397,-0.3917,-0.4287,-0.4597,-0.4857
exp118,5,5,5,5,0,5,0,10,20,5,10,-1.2,90,-0.7227,-0.7457,-0.7597,-0.7707,-0.7817
exp119,0,5,15,0,20,0,5,15,0,10,0,-1.4,90,-0.4027,-0.4687,-0.5167,-0.5517,-0.5807
exp120,5,10,10,0,0,0,0,0,30,15,0,-1.4,120,-0.7707,-0.7937,-0.8097,-0.8227,-0.8337
exp121,20,5,5,0,5,5,10,0,20,0,0,-1.4,150,-0.8037,-0.8377,-0.8597,-0.8777,-0.8927
exp122,5,0,0,0,0,5,30,5,20,0,5,-1.3,90,-0.7907,-0.8407,-0.8717,-0.8957,-0.9127
exp123,10,10,5,10,0,0,10,15,5,5,0,-1.2,90,-0.6197,-0.6517,-0.6697,-0.6837,-0.6947
exp124,0,5,5,35,0,0,0,10,10,5,0,-1.2,150,-0.2517,-0.2887,-0.3147,-0.3337,-0.3507
exp125,5,0,0,10,5,15,0,10,25,0,0,-1.1,120,-0.5867,-0.6357,-0.6687,-0.6937,-0.7127
exp126,5,0,0,5,30,10,0,0,20,0,0,-1.3,120,-0.6217,-0.6677,-0.6947,-0.7137,-0.7277
exp127,0,5,15,5,15,0,0,5,0,15,10,-1.5,90,-0.2427,-0.2817,-0.3087,-0.3297,-0.3477
exp128,0,20,5,15,5,5,0,10,0,10,0,-1.2,150,-0.2467,-0.2827,-0.3077,-0.3277,-0.3447
exp129,10,10,0,0,10,5,5,5,10,5,10,-1.5,60,-0.4537,-0.5107,-0.5417,-0.5637,-0.5797
exp130,5,0,5,0,15,0,5,0,10,25,5,-1.2,90,-0.4747,-0.5517,-0.5987,-0.6357,-0.6657
exp131,5,15,15,0,0,5,0,5,0,15,10,-1.5,60,-0.6417,-0.6877,-0.7187,-0.7427,-0.7617
exp132,0,0,5,15,0,0,5,15,5,20,5,-1.1,60,-0.3057,-0.3587,-0.3957,-0.4237,-0.4467
exp133,15,0,10,0,20,0,0,0,0,25,0,-1.1,150,-0.5037,-0.5547,-0.5837,-0.6037,-0.6227
exp134,0,5,10,5,10,0,15,0,10,15,0,-1.5,120,-0.4887,-0.5507,-0.5937,-0.6227,-0.6467
exp135,0,10,0,0,0,0,30,20,0,0,10,-1.1,60,-0.7487,-0.7787,-0.8007,-0.8197,-0.8347
exp136,0,5,0,20,5,5,10,10,15,0,0,-1.2,90,-0.2067,-0.2487,-0.2757,-0.2977,-0.3157
exp137,10,5,25,0,5,5,0,20,0,0,0,-1.3,120,-0.4187,-0.4737,-0.5107,-0.5387,-0.5607
exp138,0,0,10,0,0,10,0,15,15,15,5,-1.1,150,-0.6027,-0.6527,-0.6847,-0.7067,-0.7267
exp139,0,0,5,10,0,20,5,25,0,0,5,-1.2,60,-0.2647,-0.3257,-0.3597,-0.3887,-0.4147
exp140,0,10,0,0,15,5,15,10,0,10,5,-1.2,60,-0.3907,-0.4677,-0.5077,-0.5337,-0.5527
exp141,20,0,10,0,10,10,0,0,5,15,0,-1.4,150,-0.5067,-0.5537,-0.5887,-0.6167,-0.6397
exp142,25,5,5,0,0,0,5,0,10,10,10,-1.2,150,-0.7807,-0.8107,-0.8327,-0.8497,-0.8657
exp143,5,0,0,0,5,0,15,15,5,20,5,-1.2,90,-0.6777,-0.7097,-0.7297,-0.7457,-0.7587
exp144,30,5,0,5,0,5,0,25,0,0,0,-1.5,90,-0.5907,-0.6257,-0.6467,-0.6627,-0.6767
exp145,15,0,0,5,0,0,20,15,10,0,5,-1.5,60,-0.6747,-0.6917,-0.7027,-0.7117,-0.7197
exp146,5,5,5,10,0,0,0,0,25,20,0,-1.5,120,-0.6907,-0.7137,-0.7277,-0.7387,-0.7477
exp147,5,5,5,15,0,0,10,10,15,5,0,-1.5,90,-0.6347,-0.6797,-0.7077,-0.7267,-0.7427
exp148,5,5,0,0,5,0,5,30,15,5,0,-1.3,60,-0.6967,-0.7197,-0.7347,-0.7487,-0.7617
exp149,15,15,0,0,5,5,0,10,10,0,10,-1.4,60,-0.4937,-0.5527,-0.5857,-0.6127,-0.6337
exp150,5,5,10,5,10,0,0,15,5,10,5,-1.3,150,-0.1747,-0.2147,-0.2407,-0.2607,-0.2787
exp151,5,0,0,5,0,15,0,15,15,0,15,-1.2,90,-0.5547,-0.5997,-0.6237,-0.6427,-0.6587
exp152,0,15,0,10,0,0,0,0,35,10,0,-1.2,90,-0.6827,-0.7017,-0.7137,-0.7237,-0.7317
exp153,0,5,0,10,20,5,0,10,10,5,5,-1.2,60,-0.2197,-0.2607,-0.2897,-0.3127,-0.3327
exp154,5,5,0,5,15,0,5,10,0,20,5,-1.5,120,-0.2197,-0.2607,-0.2897,-0.3117,-0.3297
exp155,5,5,5,30,0,0,0,0,20,5,0,-1.5,150,-0.5627,-0.6197,-0.6437,-0.6617,-0.6767
exp156,5,0,20,0,0,5,5,20,0,0,15,-1.4,120,-0.2837,-0.3497,-0.3767,-0.3987,-0.4157
exp157,0,15,5,0,5,15,0,5,15,5,5,-1.2,150,-0.2427,-0.2967,-0.3297,-0.3517,-0.3677
exp158,25,5,0,0,15,0,0,0,10,15,0,-1.2,150,-0.6507,-0.6917,-0.7157,-0.7317,-0.7457
exp159,0,0,10,0,0,15,15,0,5,15,10,-1.3,90,-0.4657,-0.5107,-0.5387,-0.5587,-0.5757
exp160,5,5,10,5,5,5,0,0,5,15,15,-1.3,60,-0.4207,-0.4577,-0.4827,-0.5057,-0.5267
exp161,0,20,0,5,5,0,5,25,0,0,10,-1.2,150,-0.2527,-0.2987,-0.3307,-0.3547,-0.3737
exp162,0,5,35,0,10,0,0,0,15,5,0,-1.4,150,-0.1987,-0.2447,-0.2747,-0.2987,-0.3197
exp163,0,5,0,0,0,25,10,5,20,5,0,-1.4,120,-0.5647,-0.6107,-0.6397,-0.6627,-0.6827
exp164,10,0,0,0,0,10,5,25,5,0,15,-1.1,150,-0.4897,-0.5317,-0.5607,-0.5847,-0.6077
exp165,15,10,0,10,0,0,15,0,0,20,0,-1.3,90,-0.3677,-0.4007,-0.4227,-0.4407,-0.4577
exp166,0,5,0,0,0,0,25,0,5,25,10,-1.1,90,-0.5217,-0.5587,-0.5827,-0.6007,-0.6177
exp167,5,0,5,0,0,0,10,5,0,45,0,-1.5,120,-0.4907,-0.5537,-0.5927,-0.6177,-0.6407
exp168,0,5,25,5,0,0,0,10,0,15,10,-1.1,150,-0.2537,-0.2867,-0.3087,-0.3257,-0.3407
exp169,0,0,0,0,30,15,0,0,5,20,0,-1.3,150,-0.1807,-0.2137,-0.2367,-0.2547,-0.2697
exp170,10,0,5,5,0,10,5,0,0,20,15,-1.3,120,-0.2747,-0.3007,-0.3187,-0.3347,-0.3457
exp171,0,5,10,5,10,0,5,10,0,15,10,-1.2,120,-0.2397,-0.2777,-0.3037,-0.3257,-0.3427
exp172,5,10,5,5,25,0,0,0,20,0,0,-1.2,150,-0.6087,-0.6817,-0.7257,-0.7607,-0.7847
exp173,0,10,0,0,5,10,10,10,0,15,10,-1.1,150,-0.4417,-0.5227,-0.5747,-0.5957,-0.6207
exp174,0,0,5,5,0,0,20,25,0,0,15,-1.2,150,-0.3557,-0.4037,-0.4337,-0.4597,-0.4827
exp175,5,5,20,0,5,0,0,10,25,0,0,-1.3,120,-0.7287,-0.7687,-0.7867,-0.8007,-0.8107
exp176,10,0,25,0,0,0,0,15,0,15,5,-1.4,90,-0.7427,-0.7897,-0.8207,-0.8497,-0.8677
exp177,25,5,0,0,0,5,0,25,0,0,10,-1.1,90,-0.6577,-0.6957,-0.7217,-0.7447,-0.7707
exp178,10,5,15,5,0,10,0,15,5,5,0,-1.5,60,-0.4757,-0.5267,-0.5637,-0.5927,-0.6127
exp179,10,0,10,5,10,0,15,0,5,15,0,-1.1,60,-0.6927,-0.7307,-0.7527,-0.7707,-0.7847
exp180,0,15,5,0,10,0,0,15,0,20,5,-1.1,150,,,,,
exp181,0,0,10,25,5,5,5,5,10,5,0,-1.2,150,-0.3037,-0.3477,-0.3747,-0.3957,-0.4137
exp182,10,0,5,35,0,0,0,0,15,5,0,-1.5,90,-0.3427,-0.3887,-0.4207,-0.4467,-0.4697
exp183,20,0,5,0,5,0,10,20,0,0,10,-1.2,60,-0.5617,-0.6037,-0.6287,-0.6477,-0.6637
exp184,0,5,5,15,10,0,5,15,5,5,5,-1.4,90,-0.3027,-0.3447,-0.3727,-0.3957,-0.4137
exp185,0,0,0,20,10,0,0,0,20,15,5,-1.4,60,-0.6537,-0.6777,-0.6917,-0.7027,-0.7107
exp186,0,5,10,10,0,10,0,15,5,5,10,-1.1,60,-0.5887,-0.6337,-0.6547,-0.6697,-0.6807
exp187,0,30,0,10,0,0,5,0,10,10,5,-1.2,90,-0.6737,-0.7157,-0.7417,-0.7627,-0.7807
exp188,5,0,0,10,15,5,10,0,5,20,0,-1.3,90,-0.2937,-0.3207,-0.3407,-0.3587,-0.3737
exp189,20,0,0,5,0,10,10,15,10,0,0,-1.2,60,-0.5847,-0.6257,-0.6477,-0.6627,-0.6747
exp190,0,0,5,10,10,5,10,10,5,5,10,-1.2,150,-0.2787,-0.3167,-0.3427,-0.3617,-0.3787
exp191,20,0,0,20,5,0,0,0,25,0,0,-1.5,90,-0.3637,-0.4077,-0.4377,-0.4617,-0.4827
exp192,0,10,0,0,5,10,0,0,0,20,25,-1.3,60,-0.4927,-0.5287,-0.5537,-0.5737,-0.5907
exp193,20,5,0,0,10,0,0,20,0,5,10,-1.4,120,-0.5987,-0.6337,-0.6567,-0.6747,-0.6907
exp194,0,15,5,10,0,5,0,0,15,15,5,-1.2,120,-0.6637,-0.6927,-0.7097,-0.7227,-0.7337
exp195,0,15,0,0,0,10,0,10,30,5,0,-1.2,150,-0.5847,-0.6717,-0.7197,-0.7537,-0.7807
exp196,0,10,0,20,5,0,15,15,0,5,0,-1.4,150,-0.2677,-0.3007,-0.3217,-0.3387,-0.3527
exp197,5,10,10,0,10,0,5,5,5,10,10,-1.1,150,-0.5047,-0.5587,-0.5897,-0.6117,-0.6287
exp198,5,0,15,0,10,10,0,15,10,0,5,-1.1,60,-0.5297,-0.6047,-0.6397,-0.6627,-0.6797
exp199,5,5,15,0,0,5,0,10,5,20,5,-1.1,60,-0.6407,-0.6827,-0.7077,-0.7267,-0.7437
exp200,15,0,0,0,10,0,5,25,5,10,0,-1.3,120,-0.6387,-0.6837,-0.7167,-0.7337,-0.7497
exp201,5,20,0,5,0,20,0,15,0,5,0,-1.4,90,-0.4577,-0.5097,-0.5387,-0.5597,-0.5777
exp202,5,0,5,5,10,0,0,5,25,15,0,-1.2,150,-0.7147,-0.7587,-0.7817,-0.7977,-0.8097
exp203,0,0,10,0,20,15,0,10,10,0,5,-1.2,90,-0.3917,-0.4557,-0.4957,-0.5267,-0.5547
exp204,5,5,0,15,0,0,5,0,35,5,0,-1.2,120,-0.1537,-0.2527,-0.3107,-0.3457,-0.3677
exp205,0,5,15,0,0,5,0,0,0,45,0,-1.3,90,-0.4647,-0.5117,-0.5497,-0.5837,-0.6177
exp206,10,0,10,0,0,15,0,25,5,5,0,-1.4,60,-0.6717,-0.7097,-0.7337,-0.7517,-0.7677
exp207,10,5,5,5,5,5,15,5,0,15,0,-1.4,150,-0.2417,-0.2807,-0.3077,-0.3297,-0.3487
exp208,15,0,10,10,10,0,5,5,10,5,0,-1.5,60,-0.5557,-0.5947,-0.6187,-0.6387,-0.6557
exp209,0,10,20,0,0,10,0,20,0,0,10,-1.5,120,-0.2667,-0.3537,-0.3807,-0.4007,-0.4177
exp210,0,10,10,5,0,20,0,10,5,10,0,-1.1,60,-0.4257,-0.4837,-0.5127,-0.5337,-0.5507
exp211,0,30,10,0,0,0,0,0,20,5,5,-1.2,90,-0.6337,-0.6797,-0.7067,-0.7277,-0.7467
exp212,0,25,0,10,0,0,0,0,10,25,0,-1.5,150,-0.2407,-0.2737,-0.2997,-0.3217,-0.3397
exp213,0,5,0,25,5,10,0,15,10,0,0,-1.3,60,-0.3417,-0.4167,-0.4757,-0.5287,-0.5717
exp214,0,0,0,0,10,15,0,30,0,0,15,-1.1,150,,,,,
exp215,5,0,0,0,10,0,10,5,15,0,25,-1.3,60,-0.6327,-0.6717,-0.6967,-0.7167,-0.7367
exp216,5,0,5,0,5,15,10,15,10,0,5,-1.5,60,-0.4987,-0.6047,-0.6507,-0.6777,-0.6977
exp217,10,15,5,0,5,0,0,20,5,0,10,-1.3,60,,,,,
exp218,0,5,5,0,5,15,0,10,20,0,10,-1.2,90,-0.6007,-0.6527,-0.6807,-0.7017,-0.7167
exp219,5,0,5,10,0,0,10,0,20,10,10,-1.1,150,,,,,
exp220,10,5,0,0,5,5,0,5,10,30,0,-1.5,150,-0.5847,-0.6237,-0.6467,-0.6647,-0.6807
